date,mean annual surface conductivity
1972,264.02
1973,252.22
1974,272.38
1975,261.76
1976,247.51
1977,256.31
1978,268.95
1979,265.47
1980,264.64
1981,264.91
1982,262.63
1983,270.57
1984,270.47
1985,272.32
1986,265.88
1987,253.46
1988,250.21
1989,257.8
1990,259.52
1991,268.01
1992,262.55
1993,266.04
1994,263.88
1995,263.21
1996,268.79
1997,265.2
1998,268.73
1999,264.98
2000,265.34
2004,270.39
2005,273.47
