date,mean spring bottom temperature
1972,5.71
1973,4.51
1974,4.31
1975,5.03
1976,4.18
1977,5.72
1978,4.82
1979,5.11
1980,4.8
1981,4.22
1982,4.71
1983,5.38
1984,4.25
1985,5.24
1986,4.82
1987,4.36
1988,5.15
1989,5.21
1990,5.18
1991,4.23
1992,5.19
1993,4.63
1994,6.23
1995,5.44
1996,4.43
1997,5.76
1998,5.34
1999,4.32
2000,4.85
2001,5.83
2002,5.82
2003,4.74
2004,4.82
2005,4.12
2006,4.28
2007,5.93
2008,5.79
2009,4.68
2010,4.7
2011,4.56
2012,4.26
2013,4.57
2014,5.18
2015,5.4
2016,5.22
2017,5.0
2018,4.68
2019,5.38
2020,5.86
2021,5.61
2022,6.02
2023,5.89
