date,mean autumn Secchi depth
1972,6.21
1974,4.11
1975,5.46
1976,5.22
1977,4.86
1978,4.32
1979,5.47
1980,4.47
1981,3.38
1982,4.08
1983,7.31
1984,4.94
1985,5.4
1986,3.14
1987,4.67
1988,5.39
1989,4.63
1990,3.16
1991,4.38
1992,3.6
1993,4.41
1994,4.86
1995,2.88
1996,4.85
1997,4.5
1998,3.18
1999,4.32
2000,4.3
2001,4.97
2002,3.83
2003,4.1
2004,5.3
2005,5.29
2006,4.23
2007,5.0
2008,5.17
2009,4.58
2010,4.91
2011,3.46
2012,3.71
2013,5.6
2014,5.19
2015,6.1
2016,6.02
2017,4.8
2018,4.96
2019,6.56
2020,5.54
2021,6.6
2022,5.68
2023,4.2
