date,mean annual surface temperature
1972,10.8
1973,11.15
1974,10.64
1975,11.52
1976,12.14
1977,11.68
1978,10.94
1979,11.73
1980,10.57
1981,11.16
1982,11.64
1983,11.74
1984,11.41
1985,11.52
1986,11.56
1987,10.49
1988,11.87
1989,11.79
1990,12.31
1991,11.43
1992,11.81
1993,11.89
1994,12.71
1995,11.51
1996,11.09
1997,11.66
1998,11.63
1999,11.73
2000,11.84
2001,11.98
2002,12.11
2003,12.95
2004,12.15
2005,12.17
