date,mean summer Schmidt stability
1972,655.68
1973,808.02
1974,672.73
1975,639.38
1976,1085.2
1977,729.54
1978,469.3
1979,752.42
1980,443.76
1981,736.04
1982,665.56
1983,744.41
1984,712.32
1985,689.38
1986,951.28
1987,438.61
1988,768.89
1989,962.98
1990,809.7
1991,609.37
1992,1025.72
1993,878.5
1994,1181.62
1995,939.46
1996,839.41
1997,521.61
1998,952.21
1999,734.53
2000,754.2
2001,823.75
2002,992.7
2003,1331.25
2004,844.3
2005,1042.47
