date,mean winter surface temperature
1972,4.12
1973,2.9
1974,3.89
1975,4.39
1976,4.07
1977,3.96
1978,4.61
1979,4.04
1980,4.06
1981,3.43
1982,3.92
1983,5.09
1984,4.15
1985,4.23
1986,4.01
1987,4.14
1988,5.64
1989,4.23
1990,4.54
1991,4.04
1992,3.97
1993,5.0
1994,4.64
1995,4.48
1996,4.35
1997,3.64
1998,5.08
1999,3.68
2000,4.23
2001,5.73
2002,3.24
2003,5.42
2004,4.03
2005,3.97
