date,mean late autumn Schmidt stability
1972,56.19
1973,75.06
1974,27.11
1975,87.93
1976,166.71
1977,159.67
1978,89.93
1979,114.54
1980,60.37
1981,81.5
1982,131.38
1983,132.15
1984,119.72
1985,127.21
1986,126.48
1987,216.86
1988,114.86
1989,128.3
1990,122.28
1991,139.23
1992,64.84
1993,77.95
1994,153.62
1995,114.76
1996,120.37
1997,91.62
1998,84.84
1999,169.27
2000,168.84
2001,156.26
2002,65.31
2003,80.07
2004,193.71
2005,223.26
