date,mean annual heat content
1972,644827674.01
1973,646246135.96
1974,637510204.39
1975,685787364.27
1976,658201438.27
1977,727188723.41
1978,691933431.01
1979,689768592.53
1980,672135590.25
1981,645311203.2
1982,693305174.07
1983,695266761.76
1984,671402120.18
1985,690759039.52
1986,691183859.59
1987,655431058.75
1988,702814779.23
1989,688879852.52
1990,703152134.29
1991,654328121.05
1992,710707139.17
1993,685321849.48
1994,749900698.97
1995,717354539.45
1996,677517796.81
1997,727280273.91
1998,692138088.75
1999,674101345.54
2000,715728238.05
2001,741615486.94
2002,739892640.51
2003,710439857.56
2004,683601849.14
2005,676508083.43
