date,mean winter hypolimnetic density
1972,1000.1598
1973,1000.1165
1974,1000.1363
1975,1000.164
1976,1000.1489
1977,1000.161
1978,1000.1526
1979,1000.1514
1980,1000.156
1981,1000.1498
1982,1000.1675
1983,1000.1476
1984,1000.154
1985,1000.1513
1986,1000.1553
1987,1000.1384
1988,1000.1295
1989,1000.1469
1990,1000.1437
1991,1000.1593
1992,1000.1566
1993,1000.1506
1994,1000.1511
1995,1000.155
1996,1000.1523
1997,1000.1673
1998,1000.1383
1999,1000.1683
2000,1000.158
2003,1000.1239
2004,1000.16
2005,1000.1552
