date,mean summer bottom oxygen concentration
1972,7.33
1973,3.98
1974,2.7
1975,1.98
1976,2.32
1977,2.52
1978,5.64
1979,2.84
1980,2.62
1981,2.89
1982,3.6
1983,2.43
1984,3.84
1985,2.41
1986,1.41
1987,2.45
1988,1.72
1989,2.06
1990,3.4
1991,3.17
1992,2.21
1993,4.37
1994,2.22
1995,5.46
1996,5.73
1997,4.59
1998,3.27
1999,3.87
2000,3.52
2001,5.49
2002,3.84
2003,4.6
2004,5.58
2005,6.09
