date,mean late autumn hypolimnetic oxygen concentration
1972,5.24
1973,5.2
1974,4.99
1975,2.47
1976,2.38
1977,5.48
1978,3.6
1979,3.15
1980,4.95
1981,5.01
1982,1.9
1983,2.9
1984,1.86
1985,3.32
1986,1.38
1987,2.61
1988,4.05
1989,3.08
1990,2.87
1991,1.5
1992,3.52
1993,5.69
1994,1.71
1995,3.65
1996,4.77
1997,2.05
1998,5.4
1999,4.78
2000,2.71
2001,3.74
2002,5.11
2003,1.23
2004,2.96
2005,3.32
