date,mean spring surface temperature
1972,9.17
1973,6.44
1974,9.13
1975,7.15
1976,10.69
1977,8.5
1978,8.94
1979,7.95
1980,7.88
1981,8.05
1982,8.86
1983,8.57
1984,8.4
1985,7.81
1986,8.04
1987,6.39
1988,8.82
1989,10.79
1990,11.54
1991,8.72
1992,7.57
1993,9.12
1994,9.48
1995,8.94
1996,8.42
1997,9.63
1998,9.29
1999,10.84
2000,9.74
2001,9.38
2002,9.33
2003,9.0
2004,9.98
2005,11.4
2006,9.33
2007,11.6
2008,10.91
2009,9.6
2010,10.08
2011,12.31
2012,9.4
2013,8.33
2014,10.17
2015,10.07
2016,8.12
2017,8.91
2018,10.73
2019,8.7
2020,11.57
2021,9.83
2022,11.42
2023,9.39
