date,mean spring Schmidt stability
1972,87.7
1973,54.16
1974,117.03
1975,41.95
1976,122.99
1977,54.73
1978,92.76
1979,41.01
1980,65.71
1981,69.99
1982,83.4
1983,76.44
1984,114.42
1985,39.66
1986,71.44
1987,40.0
1988,97.97
1989,181.27
1990,198.9
1991,106.65
1992,59.02
1993,142.4
1994,120.32
1995,98.84
1996,121.65
1997,122.77
1998,125.31
1999,135.3
2000,131.68
2001,93.27
2002,106.14
2003,138.04
2004,149.35
2005,197.25
2006,168.1
2007,311.33
2008,164.37
2009,184.48
2010,223.63
2011,401.66
2012,195.45
2013,148.78
2014,205.89
2015,174.9
2016,93.78
2017,162.48
2018,246.78
2019,114.39
2020,295.0
2021,171.2
2022,243.16
2023,162.99
