date,minimum surface temperature
1972,3.5
1973,2.9
1974,3.85
1975,4.1
1976,2.7
1977,3.8
1978,3.95
1979,3.45
1980,3.4
1981,2.8
1982,2.35
1983,3.65
1984,3.0
1985,2.6
1986,3.15
1987,2.45
1988,3.9
1989,3.35
1990,4.25
1991,2.95
1992,3.3
1993,4.0
1994,3.8
1995,4.3
1996,3.6
1997,3.2
1998,4.18
1999,2.84
2000,3.34
2001,4.9
2002,2.9
2003,3.4
2004,3.0
2005,2.2
