date,minimum bottom temperature
1972,3.5
1973,3.2
1974,4.2
1975,4.2
1976,3.9
1977,3.8
1978,4.0
1979,3.2
1980,3.3
1981,2.8
1982,3.6
1983,3.75
1984,3.0
1985,2.9
1986,3.65
1987,3.7
1988,4.0
1989,4.6
1990,4.15
1991,3.9
1992,3.6
1993,4.4
1994,4.4
1995,4.7
1996,3.9
1997,4.1
1998,4.5
1999,3.06
2000,3.85
2001,4.8
2002,4.0
2003,3.5
2004,3.7
2005,3.55
