date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
26.10.2009 12:00,26.0
02.12.2009 12:00,38.7
19.01.2010 12:00,74.5
19.04.2010 12:00,13.0
17.05.2010 12:00,38.2
15.06.2010 12:00,14.2
12.07.2010 12:00,9.7
09.08.2010 12:00,13.6
01.09.2010 12:00,25.0
15.09.2010 12:00,16.2
25.10.2010 12:00,31.1
29.11.2010 12:00,40.1
18.04.2011 12:00,9.0
17.05.2011 12:00,12.5
13.06.2011 12:00,13.4
11.07.2011 12:00,14.1
08.08.2011 12:00,11.9
29.08.2011 12:00,17.8
19.09.2011 12:00,22.5
24.10.2011 12:00,25.2
28.11.2011 12:00,37.8
16.01.2012 12:00,72.1
16.04.2012 12:00,15.5
14.05.2012 12:00,14.1
11.06.2012 12:00,23.2
16.07.2012 12:00,14.9
06.08.2012 12:00,15.0
27.08.2012 12:00,14.2
24.09.2012 12:00,19.4
23.10.2012 12:00,24.6
26.11.2012 12:00,35.8
14.01.2013 12:00,73.5
16.04.2013 12:00,10.1
13.05.2013 12:00,11.7
10.06.2013 12:00,15.0
16.07.2013 12:00,8.5
12.08.2013 12:00,13.0
16.09.2013 12:00,14.0
21.10.2013 12:00,25.0
27.11.2013 12:00,39.7
16.12.2013 12:00,40.1
10.03.2014 12:00,13.7
08.04.2014 12:00,7.7
12.05.2014 12:00,11.6
16.06.2014 12:00,8.0
07.07.2014 12:00,13.2
04.08.2014 12:00,14.9
25.08.2014 12:00,13.4
15.09.2014 12:00,23.5
20.10.2014 12:00,6.3
01.12.2014 12:00,34.4
19.01.2015 12:00,74.6
14.04.2015 12:00,9.9
12.05.2015 12:00,12.3
15.06.2015 12:00,17.7
06.07.2015 12:00,8.9
04.08.2015 12:00,12.1
18.08.2015 12:00,15.8
28.09.2015 12:00,13.0
27.10.2015 12:00,20.9
30.11.2015 12:00,37.4
11.01.2016 12:00,39.7
11.04.2016 12:00,14.3
09.05.2016 12:00,22.9
13.06.2016 12:00,8.2
04.07.2016 12:00,12.6
01.08.2016 12:00,11.2
05.09.2016 12:00,11.5
26.09.2016 12:00,15.4
24.10.2016 12:00,22.5
28.11.2016 12:00,33.4
10.01.2017 12:00,74.0
03.04.2017 12:00,10.0
09.05.2017 12:00,13.6
05.06.2017 12:00,8.6
10.07.2017 12:00,13.3
07.08.2017 12:00,13.7
18.09.2017 12:00,21.0
16.10.2017 12:00,22.9
06.11.2017 12:00,26.7
04.12.2017 12:00,40.8
10.04.2018 12:00,6.7
14.05.2018 12:00,14.8
11.06.2018 12:00,9.1
09.07.2018 12:00,12.0
06.08.2018 12:00,11.0
17.09.2018 12:00,15.3
15.10.2018 12:00,17.5
19.11.2018 12:00,25.7
04.12.2018 12:00,38.7
08.01.2019 12:00,73.6
04.03.2019 12:00,13.1
09.04.2019 12:00,8.2
13.05.2019 12:00,37.0
10.06.2019 12:00,7.2
01.07.2019 12:00,7.3
05.08.2019 12:00,12.8
16.09.2019 12:00,12.9
15.10.2019 12:00,19.3
04.11.2019 12:00,21.8
02.12.2019 12:00,38.2
13.01.2020 12:00,73.8
10.02.2020 12:00,4.1
02.03.2020 12:00,26.0
19.05.2020 12:00,13.2
08.06.2020 12:00,14.4
13.07.2020 12:00,12.2
03.08.2020 12:00,14.0
14.09.2020 12:00,14.0
20.10.2020 12:00,24.5
09.11.2020 12:00,28.9
30.11.2020 12:00,38.3
14.12.2020 12:00,39.8
15.03.2021 12:00,18.9
12.04.2021 12:00,18.3
26.06.2021 12:00,8.7
19.07.2021 12:00,13.2
16.08.2021 12:00,13.0
20.09.2021 12:00,22.0
12.10.2021 12:00,17.1
16.11.2021 12:00,26.5
13.12.2021 12:00,39.7
11.04.2022 12:00,15.9
16.05.2022 12:00,9.1
13.06.2022 12:00,13.4
11.07.2022 12:00,14.0
