date (yyyy-mm-dd HH:MM:SS),thermocline depth [m]
22.07.1996 12:00,7.2
19.08.1996 12:00,7.7
16.09.1996 12:00,8.6
14.10.1996 12:00,9.1
11.11.1996 12:00,8.6
01.04.1997 12:00,1.9
28.04.1997 12:00,5.6
26.05.1997 12:00,6.5
23.06.1997 12:00,7.6
21.07.1997 12:00,8.0
18.08.1997 12:00,7.9
15.09.1997 12:00,8.6
20.10.1997 12:00,8.6
10.11.1997 12:00,3.6
30.03.1998 12:00,1.8
27.04.1998 12:00,3.3
25.05.1998 12:00,7.0
22.06.1998 12:00,6.6
20.07.1998 12:00,6.9
13.08.1998 12:00,7.7
14.09.1998 12:00,9.1
12.10.1998 12:00,8.6
09.11.1998 12:00,14.5
29.03.1999 12:00,3.6
26.04.1999 12:00,1.9
25.05.1999 12:00,5.7
21.06.1999 12:00,6.1
19.07.1999 12:00,5.7
16.08.1999 12:00,6.9
13.09.1999 12:00,6.2
11.10.1999 12:00,8.6
08.11.1999 12:00,9.4
04.04.2000 12:00,1.9
02.05.2000 12:00,3.6
05.06.2000 12:00,5.6
26.06.2000 12:00,6.0
26.07.2000 12:00,6.7
21.08.2000 12:00,4.0
18.09.2000 12:00,8.6
16.10.2000 12:00,8.6
13.11.2000 12:00,11.2
02.04.2001 12:00,1.9
30.04.2001 12:00,3.5
28.05.2001 12:00,3.6
25.06.2001 12:00,6.1
23.07.2001 12:00,7.7
20.08.2001 12:00,7.7
17.09.2001 12:00,8.6
15.10.2001 12:00,9.9
12.11.2001 12:00,23.7
02.04.2002 12:00,1.9
30.04.2002 12:00,6.1
27.05.2002 12:00,5.8
24.06.2002 12:00,3.6
22.07.2002 12:00,6.5
19.08.2002 12:00,8.6
16.09.2002 12:00,8.6
14.10.2002 12:00,9.0
12.11.2002 12:00,22.2
02.04.2003 12:00,1.9
30.04.2003 12:00,2.9
02.06.2003 12:00,4.4
25.06.2003 12:00,5.8
23.07.2003 12:00,7.0
20.08.2003 12:00,7.9
17.09.2003 12:00,8.6
15.10.2003 12:00,11.0
12.11.2003 12:00,6.4
31.03.2004 12:00,1.3
28.04.2004 12:00,1.9
26.05.2004 12:00,5.5
23.06.2004 12:00,6.4
21.07.2004 12:00,7.3
18.08.2004 12:00,7.0
15.09.2004 12:00,8.6
13.10.2004 12:00,10.3
10.11.2004 12:00,11.4
30.03.2005 12:00,2.3
27.04.2005 12:00,3.3
25.05.2005 12:00,4.5
22.06.2005 12:00,5.9
20.07.2005 12:00,6.5
17.08.2005 12:00,8.6
14.09.2005 12:00,8.8
12.10.2005 12:00,10.4
09.11.2005 12:00,11.0
26.04.2006 12:00,3.6
23.05.2006 12:00,5.7
21.06.2006 12:00,5.3
19.07.2006 12:00,6.5
16.08.2006 12:00,8.6
13.09.2006 12:00,8.3
17.10.2006 12:00,9.0
08.11.2006 12:00,9.0
13.12.2006 12:00,34.4
28.03.2007 12:00,2.3
20.04.2007 12:00,3.2
23.05.2007 12:00,5.7
20.06.2007 12:00,6.8
18.07.2007 12:00,8.6
15.08.2007 12:00,8.7
12.09.2007 12:00,9.1
10.10.2007 12:00,10.3
07.11.2007 12:00,12.2
30.04.2008 12:00,4.0
28.05.2008 12:00,5.7
25.06.2008 12:00,6.0
23.07.2008 12:00,6.9
20.08.2008 12:00,8.3
17.09.2008 12:00,9.6
15.10.2008 12:00,11.0
12.11.2008 12:00,9.5
29.04.2009 12:00,4.4
27.05.2009 12:00,6.1
24.06.2009 12:00,6.5
22.07.2009 12:00,8.3
19.08.2009 12:00,8.3
16.09.2009 12:00,8.6
15.10.2009 12:00,11.0
11.11.2009 12:00,10.6
26.03.2010 12:00,0.8
28.04.2010 12:00,4.7
26.05.2010 12:00,5.5
23.06.2010 12:00,7.9
21.07.2010 12:00,7.1
18.08.2010 12:00,8.3
15.09.2010 12:00,9.6
13.10.2010 12:00,10.4
10.11.2010 12:00,10.5
30.03.2011 12:00,5.3
27.04.2011 12:00,3.2
25.05.2011 12:00,6.1
22.06.2011 12:00,8.0
20.07.2011 12:00,8.3
17.08.2011 12:00,9.1
14.09.2011 12:00,9.8
12.10.2011 12:00,10.7
09.11.2011 12:00,10.7
28.03.2012 12:00,1.9
25.04.2012 12:00,0.8
23.05.2012 12:00,6.3
20.06.2012 12:00,8.3
18.07.2012 12:00,7.6
14.08.2012 12:00,8.4
12.09.2012 12:00,9.0
10.10.2012 12:00,11.0
07.11.2012 12:00,13.6
24.04.2013 12:00,3.6
22.05.2013 12:00,7.0
19.06.2013 12:00,3.6
17.07.2013 12:00,7.2
14.08.2013 12:00,6.9
11.09.2013 12:00,8.3
09.10.2013 12:00,10.4
07.11.2013 12:00,13.6
25.03.2014 12:00,29.4
23.04.2014 12:00,1.9
21.05.2014 12:00,6.6
18.06.2014 12:00,6.4
16.07.2014 12:00,8.6
13.08.2014 12:00,8.3
10.09.2014 12:00,10.6
08.10.2014 12:00,10.7
05.11.2014 12:00,11.0
10.12.2014 12:00,32.6
25.03.2015 12:00,1.9
23.04.2015 12:00,8.6
20.05.2015 12:00,4.0
17.06.2015 12:00,6.5
15.07.2015 12:00,6.4
12.08.2015 12:00,8.3
09.09.2015 12:00,9.1
07.10.2015 12:00,10.7
04.11.2015 12:00,11.1
09.12.2015 12:00,27.9
30.03.2016 12:00,8.6
27.04.2016 12:00,9.0
25.05.2016 12:00,8.6
22.06.2016 12:00,8.4
20.07.2016 12:00,7.2
16.08.2016 12:00,8.4
14.09.2016 12:00,8.3
12.10.2016 12:00,11.4
09.11.2016 12:00,12.4
29.03.2017 12:00,0.9
26.04.2017 12:00,9.0
22.05.2017 12:00,6.1
21.06.2017 12:00,6.9
19.07.2017 12:00,8.3
15.08.2017 12:00,9.0
13.09.2017 12:00,10.0
03.10.2017 12:00,11.4
08.11.2017 12:00,11.1
25.04.2018 12:00,2.4
29.05.2018 12:00,4.8
21.06.2018 12:00,6.2
18.07.2018 12:00,8.3
15.08.2018 12:00,8.6
12.09.2018 12:00,8.6
02.10.2018 12:00,11.0
07.11.2018 12:00,12.9
12.12.2018 12:00,30.0
27.03.2019 12:00,6.4
24.04.2019 12:00,3.1
21.05.2019 12:00,11.5
19.06.2019 12:00,6.1
17.07.2019 12:00,7.4
14.08.2019 12:00,8.6
18.09.2019 12:00,10.7
16.10.2019 12:00,11.4
13.11.2019 12:00,13.6
22.04.2020 12:00,6.1
20.05.2020 12:00,6.4
24.06.2020 12:00,8.3
22.07.2020 12:00,8.6
26.08.2020 12:00,9.0
23.09.2020 12:00,9.9
21.10.2020 12:00,12.0
18.11.2020 12:00,11.4
24.03.2021 12:00,0.8
21.04.2021 12:00,0.8
26.05.2021 12:00,7.7
22.06.2021 12:00,3.6
21.07.2021 12:00,8.7
25.08.2021 12:00,9.0
21.09.2021 12:00,9.7
