date,gve_sum,gve_ha
1980,2449.6018,0.1697
1981,2445.5448,0.1694
1982,2441.4877,0.1691
1983,2437.4307,0.1688
1984,2433.3737,0.1686
1985,2429.3167,0.1683
1986,2427.8837,0.1682
1987,2426.4508,0.1681
1988,2425.0178,0.168
1989,2423.5849,0.1679
1990,2422.1519,0.1678
1991,2380.2191,0.1649
1992,2338.2863,0.162
1993,2296.3535,0.1591
1994,2254.4207,0.1562
1995,2212.4879,0.1533
1996,2170.5551,0.1503
1997,2206.832,0.1529
1998,2195.734,0.1521
1999,2160.5809,0.1497
2000,2093.5744,0.145
2001,2070.5997,0.1434
2002,2101.2918,0.1455
2003,2054.9408,0.1423
2004,2047.774,0.1418
2005,2080.5855,0.1441
2006,2030.2481,0.1406
2007,1987.6357,0.1377
2008,2004.6318,0.1389
2009,2054.6235,0.1423
2010,2106.8647,0.1459
2011,2045.7723,0.1417
2012,1928.4186,0.1336
2013,1856.6996,0.1286
2014,1852.7277,0.1283
2015,1741.2324,0.1206
2016,1758.5407,0.1218
2017,1749.7846,0.1212
2018,1770.1102,0.1226
2019,1678.0119,0.1162
2020,1754.6839,0.1215
