date,gve_sum,gve_ha
1980,75336.4757,0.1607
1981,74612.2777,0.1591
1982,73888.0796,0.1576
1983,73163.8816,0.1561
1984,72439.6836,0.1545
1985,71715.4856,0.153
1986,72740.2509,0.1552
1987,73765.0161,0.1573
1988,74789.7814,0.1595
1989,75814.5467,0.1617
1990,76839.312,0.1639
1991,76426.4198,0.163
1992,76013.5277,0.1621
1993,75600.6355,0.1613
1994,75187.7434,0.1604
1995,74774.8512,0.1595
1996,74361.9591,0.1586
1997,72688.6545,0.155
1998,72285.7307,0.1542
1999,73689.144,0.1572
2000,73457.4133,0.1567
2001,73829.333,0.1575
2002,73661.4268,0.1571
2003,73294.2248,0.1563
2004,71707.9074,0.153
2005,72829.746,0.1553
2006,73827.2792,0.1575
2007,72649.9053,0.155
2008,74045.7104,0.1579
2009,73796.8984,0.1574
2010,73514.1124,0.1568
2011,72183.9896,0.154
2012,71373.2247,0.1522
2013,70775.7893,0.151
2014,69233.9922,0.1477
2015,68730.1216,0.1466
2016,68565.7068,0.1462
2017,68619.4737,0.1464
2018,67832.5249,0.1447
2019,65677.6779,0.1401
2020,64839.0589,0.1383
