date,gve_sum,gve_ha
1980,3849.1374,0.0625
1981,3796.5566,0.0616
1982,3743.9758,0.0608
1983,3691.3949,0.0599
1984,3638.8141,0.0591
1985,3586.2332,0.0582
1986,3605.774,0.0585
1987,3625.3147,0.0589
1988,3644.8554,0.0592
1989,3664.3962,0.0595
1990,3683.9369,0.0598
1991,3665.6591,0.0595
1992,3647.3814,0.0592
1993,3629.1036,0.0589
1994,3610.8258,0.0586
1995,3592.5481,0.0583
1996,3574.2703,0.058
1997,3498.7941,0.0568
1998,3507.6037,0.057
1999,3662.0632,0.0595
2000,3628.0488,0.0589
2001,3678.4689,0.0597
2002,3659.0318,0.0594
2003,3623.0846,0.0588
2004,3600.6174,0.0585
2005,3591.2463,0.0583
2006,3574.6966,0.058
2007,3554.1292,0.0577
2008,3632.2876,0.059
2009,3652.8011,0.0593
2010,3638.7309,0.0591
2011,3536.278,0.0574
2012,3488.8808,0.0566
2013,3491.0567,0.0567
2014,3535.1301,0.0574
2015,3471.6621,0.0564
2016,3430.9285,0.0557
2017,3444.1792,0.0559
2018,3426.8057,0.0556
2019,3406.1729,0.0553
2020,3344.2154,0.0543
