date,gve_sum,gve_ha
1980,12199.0314,0.3853
1981,12183.1582,0.3848
1982,12167.2851,0.3843
1983,12151.4119,0.3837
1984,12135.5388,0.3832
1985,12119.6656,0.3827
1986,12205.5432,0.3855
1987,12291.4209,0.3882
1988,12377.2985,0.3909
1989,12463.1761,0.3936
1990,12549.0538,0.3963
1991,12401.2401,0.3916
1992,12253.4265,0.387
1993,12105.6129,0.3823
1994,11957.7992,0.3776
1995,11809.9856,0.373
1996,11662.1719,0.3683
1997,11369.462,0.3591
1998,11422.4766,0.3607
1999,11892.8553,0.3756
2000,11720.9317,0.3702
2001,11753.4224,0.3712
2002,11713.19,0.3699
2003,11675.4957,0.3687
2004,11572.2996,0.3655
2005,11652.6129,0.368
2006,11765.0202,0.3715
2007,11579.7616,0.3657
2008,11769.2201,0.3717
2009,11343.2063,0.3582
2010,11287.1096,0.3565
2011,11140.9435,0.3518
2012,11032.68,0.3484
2013,10771.2374,0.3402
2014,10566.7438,0.3337
2015,10426.2222,0.3293
2016,10512.3801,0.332
2017,10482.6886,0.331
2018,10605.5928,0.3349
2019,10544.0842,0.333
2020,10408.1343,0.3287
