date,gve_sum,gve_ha
1980,1730.7879,0.3705
1981,1712.7664,0.3667
1982,1694.745,0.3628
1983,1676.7236,0.359
1984,1658.7021,0.3551
1985,1640.6807,0.3512
1986,1636.373,0.3503
1987,1632.0654,0.3494
1988,1627.7577,0.3485
1989,1623.45,0.3476
1990,1619.1424,0.3466
1991,1603.295,0.3432
1992,1587.4476,0.3399
1993,1571.6002,0.3365
1994,1555.7528,0.3331
1995,1539.9054,0.3297
1996,1524.058,0.3263
1997,1450.003,0.3104
1998,1460.3924,0.3127
1999,1493.4661,0.3197
2000,1484.6331,0.3178
2001,1472.1218,0.3152
2002,1466.9712,0.3141
2003,1483.1894,0.3175
2004,1511.5633,0.3236
2005,1510.152,0.3233
2006,1528.1063,0.3271
2007,1487.1997,0.3184
2008,1536.6359,0.329
2009,1500.5753,0.3213
2010,1481.5424,0.3172
2011,1456.1005,0.3117
2012,1500.2913,0.3212
2013,1473.0374,0.3154
2014,1426.7577,0.3055
2015,1429.5546,0.306
2016,1473.1503,0.3154
2017,1454.1359,0.3113
2018,1485.6709,0.3181
2019,1492.0466,0.3194
2020,1445.0172,0.3094
