date,gve_sum,gve_ha
1980,106928.7604,0.9857
1981,106659.7974,0.9832
1982,106390.8343,0.9807
1983,106121.8713,0.9782
1984,105852.9082,0.9758
1985,105583.9452,0.9733
1986,105552.5964,0.973
1987,105521.2476,0.9727
1988,105489.8988,0.9724
1989,105458.5501,0.9721
1990,105427.2013,0.9718
1991,103825.7133,0.9571
1992,102224.2254,0.9423
1993,100622.7375,0.9276
1994,99021.2495,0.9128
1995,97419.7616,0.898
1996,95818.2737,0.8833
1997,90956.9994,0.8385
1998,93366.3302,0.8607
1999,97033.5879,0.8945
2000,96821.3026,0.8925
2001,97781.5532,0.9014
2002,96414.5653,0.8888
2003,96287.6755,0.8876
2004,94910.8677,0.8749
2005,96933.9689,0.8935
2006,97924.4161,0.9027
2007,94210.2292,0.8684
2008,97810.8421,0.9016
2009,95297.9126,0.8785
2010,96385.9252,0.8885
2011,95315.5093,0.8786
2012,94877.6528,0.8746
2013,93797.8993,0.8646
2014,92910.2026,0.8565
2015,92840.7363,0.8558
2016,92911.438,0.8565
2017,92771.0284,0.8552
2018,93618.5194,0.863
2019,92285.5735,0.8507
2020,92620.4944,0.8538
