date,gve_sum,gve_ha
1980,1324032.2998,0.5038
1981,1312052.5893,0.4993
1982,1300072.8789,0.4947
1983,1288093.1685,0.4901
1984,1276113.4581,0.4856
1985,1264133.7476,0.481
1986,1260790.5368,0.4798
1987,1257447.3259,0.4785
1988,1254104.115,0.4772
1989,1250760.9042,0.4759
1990,1247417.6933,0.4747
1991,1231401.9048,0.4686
1992,1215386.1163,0.4625
1993,1199370.3278,0.4564
1994,1183354.5393,0.4503
1995,1167338.7508,0.4442
1996,1151322.9623,0.4381
1997,1127460.774,0.429
1998,1122812.2751,0.4273
1999,1152147.2237,0.4384
2000,1151878.8257,0.4383
2001,1164361.8069,0.4431
2002,1158898.1698,0.441
2003,1141959.8328,0.4345
2004,1133891.9787,0.4315
2005,1150440.5283,0.4378
2006,1157090.6948,0.4403
2007,1152935.6082,0.4387
2008,1171743.9317,0.4459
2009,1156009.8821,0.4399
2010,1157410.0338,0.4404
2011,1152574.221,0.4386
2012,1150389.7464,0.4377
2013,1140058.3721,0.4338
2014,1132155.8548,0.4308
2015,1124625.752,0.4279
2016,1118868.8563,0.4258
2017,1113923.3747,0.4239
2018,1113136.7866,0.4236
2019,1096505.8886,0.4172
2020,1089910.6065,0.4147
