date,gve_sum,gve_ha
1980,6201.585,0.9238
1981,6117.9181,0.9114
1982,6034.2512,0.8989
1983,5950.5843,0.8864
1984,5866.9174,0.874
1985,5783.2505,0.8615
1986,5718.6792,0.8519
1987,5654.1078,0.8423
1988,5589.5365,0.8326
1989,5524.9652,0.823
1990,5460.3939,0.8134
1991,5433.6809,0.8094
1992,5406.968,0.8054
1993,5380.255,0.8015
1994,5353.5421,0.7975
1995,5326.8291,0.7935
1996,5300.1162,0.7895
1997,5260.8474,0.7837
1998,5156.0329,0.7681
1999,5290.6858,0.7881
2000,5175.1222,0.7709
2001,5151.0809,0.7673
2002,5185.2122,0.7724
2003,4940.4349,0.736
2004,4881.2173,0.7271
2005,4892.7431,0.7288
2006,4941.6975,0.7361
2007,5050.329,0.7523
2008,5097.37,0.7593
2009,4857.018,0.7235
2010,4901.8347,0.7302
2011,4764.915,0.7098
2012,4654.0186,0.6933
2013,4668.5481,0.6954
2014,4629.9773,0.6897
2015,4543.0175,0.6767
2016,4450.651,0.663
2017,4449.9818,0.6629
2018,4297.7543,0.6402
2019,4196.9241,0.6252
2020,4076.8047,0.6073
