date,gve_sum,gve_ha
1980,35276.922,0.8479
1981,34523.901,0.8298
1982,33770.8799,0.8117
1983,33017.8588,0.7936
1984,32264.8377,0.7755
1985,31511.8167,0.7574
1986,31244.8717,0.751
1987,30977.9267,0.7446
1988,30710.9817,0.7382
1989,30444.0367,0.7317
1990,30177.0917,0.7253
1991,29938.5125,0.7196
1992,29699.9334,0.7139
1993,29461.3542,0.7081
1994,29222.7751,0.7024
1995,28984.1959,0.6967
1996,28745.6168,0.6909
1997,28575.7843,0.6868
1998,28338.3436,0.6811
1999,28640.955,0.6884
2000,28363.4193,0.6817
2001,28810.2101,0.6925
2002,28640.7975,0.6884
2003,28494.8195,0.6849
2004,28080.4412,0.6749
2005,28595.6388,0.6873
2006,28479.8679,0.6845
2007,28629.2679,0.6881
2008,29345.4693,0.7053
2009,29195.5507,0.7017
2010,28506.8048,0.6852
2011,27992.5899,0.6728
2012,28548.0725,0.6862
2013,28317.6449,0.6806
2014,28251.4771,0.679
2015,28545.7711,0.6861
2016,27736.499,0.6667
2017,26965.5224,0.6481
2018,27342.7746,0.6572
2019,27426.5715,0.6592
2020,27561.3472,0.6625
