date,gve_sum,gve_ha
1980,663540.6871,0.5737
1981,657226.2221,0.5682
1982,650911.7572,0.5628
1983,644597.2922,0.5573
1984,638282.8273,0.5519
1985,631968.3623,0.5464
1986,629655.5951,0.5444
1987,627342.8279,0.5424
1988,625030.0607,0.5404
1989,622717.2935,0.5384
1990,620404.5263,0.5364
1991,613112.2232,0.5301
1992,605819.92,0.5238
1993,598527.6169,0.5175
1994,591235.3137,0.5112
1995,583943.0106,0.5049
1996,576650.7074,0.4986
1997,568162.6619,0.4912
1998,565985.2448,0.4894
1999,578360.4711,0.5001
2000,577830.5176,0.4996
2001,587676.3387,0.5081
2002,585873.7756,0.5066
2003,577168.3926,0.499
2004,573198.1303,0.4956
2005,579179.2093,0.5008
2006,582271.6932,0.5034
2007,584345.9804,0.5052
2008,592417.1353,0.5122
2009,585401.9555,0.5061
2010,582474.551,0.5036
2011,581527.8216,0.5028
2012,583301.3395,0.5043
2013,577903.116,0.4997
2014,576598.7099,0.4985
2015,571699.6085,0.4943
2016,566756.0256,0.49
2017,563668.203,0.4874
2018,562913.724,0.4867
2019,555550.4525,0.4803
2020,552094.4532,0.4773
