date,gve_sum,gve_ha
1980,27235.9912,0.9459
1981,27165.5507,0.9435
1982,27095.1102,0.941
1983,27024.6697,0.9386
1984,26954.2292,0.9361
1985,26883.7887,0.9337
1986,26847.8963,0.9324
1987,26812.0039,0.9312
1988,26776.1114,0.93
1989,26740.219,0.9287
1990,26704.3266,0.9275
1991,26393.4569,0.9167
1992,26082.5872,0.9059
1993,25771.7175,0.8951
1994,25460.8479,0.8843
1995,25149.9782,0.8735
1996,24839.1085,0.8627
1997,24034.1958,0.8347
1998,24104.8521,0.8372
1999,24275.7668,0.8431
2000,24185.4104,0.84
2001,24540.302,0.8523
2002,24452.189,0.8492
2003,24496.2644,0.8508
2004,23856.7678,0.8286
2005,24033.8839,0.8347
2006,24226.1023,0.8414
2007,23630.1186,0.8207
2008,24165.7125,0.8393
2009,23440.2253,0.8141
2010,23790.1314,0.8262
2011,23273.2435,0.8083
2012,23002.7316,0.7989
2013,22570.1033,0.7839
2014,22398.4883,0.7779
2015,22572.7322,0.784
2016,22559.5735,0.7835
2017,22543.1559,0.7829
2018,22623.1266,0.7857
2019,22503.6826,0.7816
2020,22653.7552,0.7868
