date,gve_sum,gve_ha
1980,23054.1242,0.4025
1981,22876.2863,0.3994
1982,22698.4483,0.3963
1983,22520.6104,0.3932
1984,22342.7725,0.3901
1985,22164.9345,0.387
1986,22023.9554,0.3845
1987,21882.9764,0.382
1988,21741.9973,0.3796
1989,21601.0182,0.3771
1990,21460.0392,0.3747
1991,21430.2038,0.3741
1992,21400.3685,0.3736
1993,21370.5332,0.3731
1994,21340.6978,0.3726
1995,21310.8625,0.3721
1996,21281.0272,0.3715
1997,21004.1141,0.3667
1998,20905.2753,0.365
1999,22266.8832,0.3888
2000,22116.7616,0.3861
2001,22961.0567,0.4009
2002,23209.3261,0.4052
2003,22968.8103,0.401
2004,22852.6219,0.399
2005,23387.3696,0.4083
2006,23731.0465,0.4143
2007,23933.8401,0.4179
2008,24557.213,0.4287
2009,24282.8687,0.4239
2010,24405.5246,0.4261
2011,23593.2095,0.4119
2012,24411.4121,0.4262
2013,24154.3775,0.4217
2014,23854.734,0.4165
2015,23435.4066,0.4092
2016,23505.3257,0.4104
2017,23352.5672,0.4077
2018,23414.3866,0.4088
2019,22977.8174,0.4012
2020,22643.0713,0.3953
