date,gve_sum,gve_ha
1980,89.3708,0.0637
1981,88.5349,0.0631
1982,87.699,0.0626
1983,86.8631,0.062
1984,86.0272,0.0614
1985,85.1913,0.0608
1986,85.0048,0.0606
1987,84.8184,0.0605
1988,84.632,0.0604
1989,84.4455,0.0602
1990,84.2591,0.0601
1991,83.2459,0.0594
1992,82.2327,0.0587
1993,81.2195,0.0579
1994,80.2063,0.0572
1995,79.1932,0.0565
1996,78.18,0.0558
1997,76.6589,0.0547
1998,76.362,0.0545
1999,78.3063,0.0559
2000,78.2753,0.0558
2001,79.1044,0.0564
2002,78.8844,0.0563
2003,77.9126,0.0556
2004,77.1751,0.055
2005,78.4005,0.0559
2006,78.8313,0.0562
2007,78.7429,0.0562
2008,80.043,0.0571
2009,79.0622,0.0564
2010,79.2309,0.0565
2011,78.5653,0.056
2012,78.408,0.0559
2013,77.6904,0.0554
2014,77.0908,0.055
2015,76.5422,0.0546
2016,76.2171,0.0544
2017,76.0626,0.0543
2018,75.9521,0.0542
2019,74.8878,0.0534
2020,74.5686,0.0532
