date,gve_sum,gve_ha
1980,1390437.7536,0.4995
1981,1377989.695,0.495
1982,1365541.6365,0.4905
1983,1353093.5779,0.486
1984,1340645.5194,0.4816
1985,1328197.4608,0.4771
1986,1324581.5117,0.4758
1987,1320965.5626,0.4745
1988,1317349.6135,0.4732
1989,1313733.6644,0.4719
1990,1310117.7152,0.4706
1991,1293814.8333,0.4647
1992,1277511.9514,0.4589
1993,1261209.0695,0.453
1994,1244906.1876,0.4472
1995,1228603.3057,0.4413
1996,1212300.4238,0.4355
1997,1187227.0507,0.4265
1998,1182217.5369,0.4247
1999,1214704.8496,0.4363
2000,1214548.6019,0.4363
2001,1228543.7006,0.4413
2002,1223484.4026,0.4395
2003,1206014.9108,0.4332
2004,1196979.1337,0.43
2005,1215079.3935,0.4365
2006,1222652.6604,0.4392
2007,1219505.2317,0.4381
2008,1239323.1805,0.4452
2009,1222590.5404,0.4392
2010,1224903.8095,0.44
2011,1218090.5212,0.4375
2012,1216503.5414,0.437
2013,1206140.3941,0.4333
2014,1197837.4928,0.4303
2015,1189525.8391,0.4273
2016,1183581.4874,0.4252
2017,1178157.7756,0.4232
2018,1177141.1728,0.4228
2019,1159120.1684,0.4164
2020,1152298.4561,0.4139
