date,gve_sum,gve_ha
1980,23835.5895,1.1178
1981,23612.9698,1.1073
1982,23390.3501,1.0969
1983,23167.7303,1.0865
1984,22945.1106,1.076
1985,22722.4909,1.0656
1986,22628.5227,1.0612
1987,22534.5544,1.0568
1988,22440.5862,1.0524
1989,22346.6179,1.048
1990,22252.6497,1.0435
1991,21890.8267,1.0266
1992,21529.0037,1.0096
1993,21167.1807,0.9926
1994,20805.3577,0.9757
1995,20443.5347,0.9587
1996,20081.7117,0.9417
1997,19665.0307,0.9222
1998,19307.8541,0.9055
1999,20581.8709,0.9652
2000,20426.6555,0.9579
2001,20431.967,0.9582
2002,20284.9169,0.9513
2003,19471.6804,0.9131
2004,20038.9075,0.9397
2005,20349.2774,0.9543
2006,20609.6411,0.9665
2007,20380.7367,0.9558
2008,21127.783,0.9908
2009,21313.6331,0.9995
2010,21689.4695,1.0171
2011,21807.9505,1.0227
2012,21339.9662,1.0007
2013,21015.99,0.9856
2014,21069.3545,0.9881
2015,20963.806,0.9831
2016,20912.7709,0.9807
2017,20778.7759,0.9744
2018,20855.4325,0.978
2019,20473.0221,0.9601
2020,20476.8152,0.9603
