date,gve_sum,gve_ha
1980,123.2753,0.1373
1981,121.4493,0.1352
1982,119.6232,0.1332
1983,117.7972,0.1312
1984,115.9711,0.1291
1985,114.145,0.1271
1986,113.7456,0.1267
1987,113.3462,0.1262
1988,112.9468,0.1258
1989,112.5474,0.1253
1990,112.148,0.1249
1991,111.1993,0.1238
1992,110.2506,0.1228
1993,109.3018,0.1217
1994,108.3531,0.1207
1995,107.4044,0.1196
1996,106.4556,0.1185
1997,100.275,0.1117
1998,100.9491,0.1124
1999,104.9207,0.1168
2000,103.9846,0.1158
2001,104.2728,0.1161
2002,103.1456,0.1149
2003,103.8443,0.1156
2004,103.7932,0.1156
2005,105.2055,0.1172
2006,105.7124,0.1177
2007,104.2895,0.1161
2008,105.6525,0.1177
2009,103.8751,0.1157
2010,103.1142,0.1148
2011,102.0467,0.1136
2012,103.7906,0.1156
2013,103.0154,0.1147
2014,100.5905,0.112
2015,100.6142,0.112
2016,100.4937,0.1119
2017,101.2654,0.1128
2018,102.8597,0.1145
2019,102.9231,0.1146
2020,100.499,0.1119
