date,gve_sum,gve_ha
1980,3198.1672,0.0876
1981,3162.345,0.0866
1982,3126.5228,0.0856
1983,3090.7006,0.0846
1984,3054.8783,0.0837
1985,3019.0561,0.0827
1986,3001.8501,0.0822
1987,2984.6441,0.0817
1988,2967.4381,0.0813
1989,2950.2321,0.0808
1990,2933.0261,0.0803
1991,2963.097,0.0811
1992,2993.1678,0.082
1993,3023.2387,0.0828
1994,3053.3096,0.0836
1995,3083.3805,0.0844
1996,3113.4514,0.0853
1997,2832.0786,0.0776
1998,2789.4238,0.0764
1999,2840.3433,0.0778
2000,2700.9723,0.074
2001,2277.508,0.0624
2002,2342.9488,0.0642
2003,2602.0389,0.0713
2004,2235.2103,0.0612
2005,2581.7058,0.0707
2006,2494.1135,0.0683
2007,2500.8416,0.0685
2008,2510.0955,0.0687
2009,2451.9777,0.0671
2010,2705.9494,0.0741
2011,2747.6386,0.0752
2012,2767.5097,0.0758
2013,2560.4138,0.0701
2014,2396.3211,0.0656
2015,2224.0838,0.0609
2016,2463.0386,0.0675
2017,2501.217,0.0685
2018,2583.4754,0.0707
2019,2455.5979,0.0672
2020,2496.73,0.0684
