date,gve_sum,gve_ha
1980,675.8251,0.0395
1981,656.4576,0.0384
1982,637.09,0.0373
1983,617.7224,0.0361
1984,598.3548,0.035
1985,578.9873,0.0339
1986,571.713,0.0334
1987,564.4388,0.033
1988,557.1646,0.0326
1989,549.8903,0.0322
1990,542.6161,0.0317
1991,532.6271,0.0312
1992,522.6381,0.0306
1993,512.649,0.03
1994,502.66,0.0294
1995,492.671,0.0288
1996,482.682,0.0282
1997,481.4118,0.0282
1998,469.3727,0.0275
1999,483.1679,0.0283
2000,458.4705,0.0268
2001,466.8407,0.0273
2002,468.8959,0.0274
2003,490.7879,0.0287
2004,475.4607,0.0278
2005,499.1444,0.0292
2006,504.4017,0.0295
2007,522.8119,0.0306
2008,529.8121,0.031
2009,527.831,0.0309
2010,525.9061,0.0308
2011,519.1855,0.0304
2012,546.1496,0.0319
2013,548.5114,0.0321
2014,518.0391,0.0303
2015,507.4081,0.0297
2016,494.1658,0.0289
2017,504.8959,0.0295
2018,521.8138,0.0305
2019,500.4994,0.0293
2020,521.2574,0.0305
