date,gve_sum,gve_ha
1980,71344.1018,0.7716
1981,70930.6398,0.7672
1982,70517.1779,0.7627
1983,70103.7159,0.7582
1984,69690.254,0.7538
1985,69276.792,0.7493
1986,69278.7811,0.7493
1987,69280.7703,0.7493
1988,69282.7594,0.7494
1989,69284.7486,0.7494
1990,69286.7377,0.7494
1991,68293.9461,0.7387
1992,67301.1545,0.7279
1993,66308.3629,0.7172
1994,65315.5713,0.7064
1995,64322.7797,0.6957
1996,63329.9881,0.685
1997,61727.4996,0.6676
1998,61679.4451,0.6671
1999,63770.8954,0.6897
2000,62894.6618,0.6803
2001,64390.7638,0.6964
2002,63658.1406,0.6885
2003,62897.8694,0.6803
2004,62722.8592,0.6784
2005,63404.3385,0.6858
2006,63770.9044,0.6897
2007,63759.429,0.6896
2008,64395.4592,0.6965
2009,63497.1927,0.6868
2010,63331.3896,0.685
2011,63975.6612,0.692
2012,63617.9978,0.6881
2013,63097.1735,0.6824
2014,62316.6238,0.674
2015,61196.5183,0.6619
2016,60935.6819,0.6591
2017,60504.9145,0.6544
2018,59939.3473,0.6483
2019,59005.2069,0.6382
2020,58519.5047,0.6329
