date,gve_sum,gve_ha
1980,15692.3805,0.2466
1981,15634.5822,0.2457
1982,15576.784,0.2448
1983,15518.9857,0.2439
1984,15461.1875,0.243
1985,15403.3892,0.2421
1986,15445.5109,0.2427
1987,15487.6325,0.2434
1988,15529.7541,0.2441
1989,15571.8757,0.2447
1990,15613.9973,0.2454
1991,15481.138,0.2433
1992,15348.2787,0.2412
1993,15215.4194,0.2391
1994,15082.5601,0.237
1995,14949.7008,0.2349
1996,14816.8415,0.2328
1997,14655.8385,0.2303
1998,14672.703,0.2306
1999,14974.6663,0.2353
2000,14694.2765,0.2309
2001,14945.4336,0.2349
2002,14939.6144,0.2348
2003,14846.0423,0.2333
2004,15282.7595,0.2402
2005,14776.4891,0.2322
2006,14684.8839,0.2308
2007,14792.4349,0.2325
2008,15067.3598,0.2368
2009,14824.396,0.233
2010,14696.9799,0.231
2011,14236.8027,0.2237
2012,14608.4318,0.2296
2013,14517.6128,0.2281
2014,14555.0451,0.2287
2015,14548.6552,0.2286
2016,14559.9167,0.2288
2017,14630.8591,0.2299
2018,14770.7118,0.2321
2019,14602.369,0.2295
2020,14432.0819,0.2268
