date,gve_sum,gve_ha
1980,443.0138,1.4064
1981,443.5558,1.4081
1982,444.0977,1.4098
1983,444.6396,1.4116
1984,445.1815,1.4133
1985,445.7235,1.415
1986,446.1687,1.4164
1987,446.614,1.4178
1988,447.0593,1.4192
1989,447.5046,1.4206
1990,447.9498,1.4221
1991,445.2091,1.4134
1992,442.4683,1.4047
1993,439.7275,1.396
1994,436.9868,1.3873
1995,434.246,1.3786
1996,431.5052,1.3699
1997,424.099,1.3463
1998,418.5157,1.3286
1999,430.6764,1.3672
2000,462.7771,1.4691
2001,454.2297,1.442
2002,437.2876,1.3882
2003,450.0953,1.4289
2004,444.9824,1.4126
2005,448.8222,1.4248
2006,444.1606,1.41
2007,433.3154,1.3756
2008,464.4411,1.4744
2009,444.8217,1.4121
2010,463.1522,1.4703
2011,458.4328,1.4553
2012,449.4408,1.4268
2013,451.4509,1.4332
2014,455.0187,1.4445
2015,458.0397,1.4541
2016,452.9821,1.438
2017,453.6718,1.4402
2018,468.6609,1.4878
2019,477.2934,1.5152
2020,475.8025,1.5105
