date,gve_sum,gve_ha
1980,84963.4246,0.1252
1981,83507.767,0.1231
1982,82052.1094,0.1209
1983,80596.4519,0.1188
1984,79140.7943,0.1166
1985,77685.1367,0.1145
1986,77588.5855,0.1144
1987,77492.0343,0.1142
1988,77395.483,0.1141
1989,77298.9318,0.1139
1990,77202.3806,0.1138
1991,76467.4319,0.1127
1992,75732.4831,0.1116
1993,74997.5344,0.1105
1994,74262.5857,0.1095
1995,73527.637,0.1084
1996,72792.6883,0.1073
1997,73311.7587,0.1081
1998,72548.4957,0.1069
1999,72090.4761,0.1063
2000,71273.2281,0.1051
2001,71933.8708,0.106
2002,72425.4407,0.1067
2003,71700.0734,0.1057
2004,70571.7107,0.104
2005,71018.3748,0.1047
2006,71017.8675,0.1047
2007,72229.1755,0.1065
2008,72838.9948,0.1074
2009,72696.5235,0.1071
2010,72818.4549,0.1073
2011,71404.6203,0.1052
2012,70637.7029,0.1041
2013,69490.9021,0.1024
2014,69132.9179,0.1019
2015,67947.3292,0.1001
2016,67752.7965,0.0999
2017,68775.7759,0.1014
2018,68492.4001,0.101
2019,67740.8042,0.0998
2020,69128.9094,0.1019
