date,gve_sum,gve_ha
1980,7372.9917,0.0552
1981,7296.0216,0.0547
1982,7219.0514,0.0541
1983,7142.0812,0.0535
1984,7065.111,0.0529
1985,6988.1409,0.0524
1986,7091.3654,0.0531
1987,7194.5898,0.0539
1988,7297.8143,0.0547
1989,7401.0388,0.0555
1990,7504.2633,0.0562
1991,7441.8763,0.0558
1992,7379.4894,0.0553
1993,7317.1025,0.0548
1994,7254.7155,0.0544
1995,7192.3286,0.0539
1996,7129.9416,0.0534
1997,6992.1774,0.0524
1998,7024.0752,0.0526
1999,7274.406,0.0545
2000,7267.0546,0.0545
2001,7327.8086,0.0549
2002,7279.0965,0.0545
2003,7268.2895,0.0545
2004,7113.3689,0.0533
2005,7126.2694,0.0534
2006,7112.9625,0.0533
2007,7150.2902,0.0536
2008,7276.6393,0.0545
2009,7348.3777,0.0551
2010,7308.7708,0.0548
2011,7088.9415,0.0531
2012,7084.8107,0.0531
2013,7061.8406,0.0529
2014,7018.7923,0.0526
2015,6877.2043,0.0515
2016,6780.8308,0.0508
2017,6807.7534,0.051
2018,6838.5752,0.0512
2019,6714.3107,0.0503
2020,6515.5825,0.0488
