date,gve_sum,gve_ha
1980,170709.6092,0.5042
1981,169925.9515,0.5019
1982,169142.2938,0.4995
1983,168358.6362,0.4972
1984,167574.9785,0.4949
1985,166791.3209,0.4926
1986,166622.4348,0.4921
1987,166453.5487,0.4916
1988,166284.6626,0.4911
1989,166115.7766,0.4906
1990,165946.8905,0.4901
1991,163206.234,0.482
1992,160465.5774,0.4739
1993,157724.9209,0.4658
1994,154984.2644,0.4577
1995,152243.6079,0.4496
1996,149502.9514,0.4415
1997,145784.8471,0.4306
1998,146331.9121,0.4322
1999,150073.6145,0.4432
2000,149821.6047,0.4425
2001,151100.6848,0.4463
2002,151350.5503,0.447
2003,148947.0599,0.4399
2004,148704.3131,0.4392
2005,150652.2258,0.4449
2006,150977.4234,0.4459
2007,150925.4051,0.4457
2008,152020.5697,0.449
2009,148839.8384,0.4396
2010,149123.1494,0.4404
2011,148317.4994,0.438
2012,147893.0827,0.4368
2013,147143.3384,0.4346
2014,146181.1509,0.4317
2015,145528.6958,0.4298
2016,145811.2071,0.4306
2017,144834.4269,0.4278
2018,145391.3904,0.4294
2019,144032.4783,0.4254
2020,142899.7904,0.422
