date,gve_sum,gve_ha
1980,233.9627,0.1779
1981,226.5364,0.1723
1982,219.1101,0.1666
1983,211.6838,0.161
1984,204.2575,0.1553
1985,196.8313,0.1497
1986,200.3656,0.1524
1987,203.8999,0.1551
1988,207.4342,0.1577
1989,210.9685,0.1604
1990,214.5028,0.1631
1991,208.7127,0.1587
1992,202.9225,0.1543
1993,197.1324,0.1499
1994,191.3423,0.1455
1995,185.5521,0.1411
1996,179.762,0.1367
1997,177.2363,0.1348
1998,181.4583,0.138
1999,176.7929,0.1344
2000,177.8321,0.1352
2001,172.5819,0.1312
2002,160.6243,0.1221
2003,176.8044,0.1345
2004,188.1591,0.1431
2005,204.6776,0.1556
2006,202.1562,0.1537
2007,210.0963,0.1598
2008,212.2265,0.1614
2009,224.2907,0.1706
2010,240.5126,0.1829
2011,216.3157,0.1645
2012,198.9232,0.1513
2013,201.1332,0.153
2014,224.3985,0.1706
2015,206.1037,0.1567
2016,177.069,0.1347
2017,165.2735,0.1257
2018,187.4876,0.1426
2019,194.8003,0.1481
2020,201.239,0.153
