date,gve_sum,gve_ha
1980,95.7188,0.0144
1981,94.6148,0.0142
1982,93.5109,0.0141
1983,92.4069,0.0139
1984,91.3029,0.0137
1985,90.199,0.0136
1986,90.0863,0.0135
1987,89.9736,0.0135
1988,89.8609,0.0135
1989,89.7482,0.0135
1990,89.6355,0.0135
1991,88.5299,0.0133
1992,87.4243,0.0131
1993,86.3187,0.013
1994,85.2131,0.0128
1995,84.1075,0.0126
1996,83.0019,0.0125
1997,81.5943,0.0123
1998,81.2239,0.0122
1999,83.3991,0.0125
2000,83.3365,0.0125
2001,84.1409,0.0127
2002,84.0165,0.0126
2003,83.0064,0.0125
2004,82.3449,0.0124
2005,83.5094,0.0126
2006,84.0113,0.0126
2007,83.891,0.0126
2008,85.2165,0.0128
2009,84.0679,0.0126
2010,84.2455,0.0127
2011,83.4415,0.0125
2012,82.9541,0.0125
2013,82.1946,0.0124
2014,81.5214,0.0123
2015,81.1305,0.0122
2016,80.9252,0.0122
2017,80.7998,0.0122
2018,80.5993,0.0121
2019,79.1924,0.0119
2020,78.776,0.0118
