date,gve_sum,gve_ha
1980,10406.1738,0.0616
1981,10286.9595,0.0609
1982,10167.7452,0.0602
1983,10048.5309,0.0595
1984,9929.3166,0.0588
1985,9810.1023,0.0581
1986,9981.6735,0.0591
1987,10153.2446,0.0601
1988,10324.8158,0.0611
1989,10496.387,0.0621
1990,10667.9582,0.0632
1991,10596.5433,0.0627
1992,10525.1285,0.0623
1993,10453.7137,0.0619
1994,10382.2989,0.0615
1995,10310.884,0.061
1996,10239.4692,0.0606
1997,10032.5096,0.0594
1998,10095.045,0.0598
1999,10395.8166,0.0615
2000,10393.679,0.0615
2001,10484.0945,0.0621
2002,10413.3141,0.0616
2003,10450.8936,0.0619
2004,10150.2231,0.0601
2005,10189.5046,0.0603
2006,10195.2217,0.0604
2007,10294.271,0.0609
2008,10457.7402,0.0619
2009,10602.2763,0.0628
2010,10528.974,0.0623
2011,10224.8246,0.0605
2012,10271.315,0.0608
2013,10221.3518,0.0605
2014,10144.018,0.0601
2015,9910.6947,0.0587
2016,9772.5716,0.0579
2017,9855.6337,0.0583
2018,9895.9757,0.0586
2019,9708.1747,0.0575
2020,9386.064,0.0556
