date,gve_sum,gve_ha
1980,6911.4574,0.3477
1981,6881.1971,0.3462
1982,6850.9368,0.3447
1983,6820.6765,0.3431
1984,6790.4162,0.3416
1985,6760.1559,0.3401
1986,6760.9599,0.3401
1987,6761.764,0.3402
1988,6762.5681,0.3402
1989,6763.3721,0.3403
1990,6764.1762,0.3403
1991,6725.214,0.3383
1992,6686.2519,0.3364
1993,6647.2897,0.3344
1994,6608.3275,0.3325
1995,6569.3654,0.3305
1996,6530.4032,0.3285
1997,6428.3378,0.3234
1998,6362.0741,0.3201
1999,6796.5313,0.3419
2000,6645.8506,0.3343
2001,6908.8306,0.3476
2002,7083.5641,0.3564
2003,6953.1006,0.3498
2004,6934.1554,0.3489
2005,7093.5208,0.3569
2006,7032.1409,0.3538
2007,7047.3138,0.3545
2008,7440.2032,0.3743
2009,7270.3666,0.3658
2010,7410.7796,0.3728
2011,7213.2246,0.3629
2012,7436.1279,0.3741
2013,7202.9539,0.3624
2014,7073.8242,0.3559
2015,6977.0888,0.351
2016,7046.3129,0.3545
2017,7077.5382,0.3561
2018,7180.2918,0.3612
2019,7033.9872,0.3539
2020,6878.2853,0.346
