date,gve_sum,gve_ha
1980,10226.5392,0.879
1981,10102.6078,0.8684
1982,9978.6763,0.8577
1983,9854.7448,0.8471
1984,9730.8133,0.8364
1985,9606.8818,0.8258
1986,9630.3846,0.8278
1987,9653.8875,0.8298
1988,9677.3903,0.8318
1989,9700.8931,0.8338
1990,9724.3959,0.8359
1991,9599.2058,0.8251
1992,9474.0157,0.8143
1993,9348.8255,0.8036
1994,9223.6354,0.7928
1995,9098.4453,0.7821
1996,8973.2551,0.7713
1997,8781.9796,0.7549
1998,8672.1071,0.7454
1999,9056.7154,0.7785
2000,9098.5313,0.7821
2001,9298.4466,0.7992
2002,9190.5845,0.79
2003,9166.4807,0.7879
2004,8969.4258,0.771
2005,9149.8573,0.7865
2006,9171.9903,0.7884
2007,9321.7689,0.8013
2008,9488.2577,0.8156
2009,9344.0456,0.8032
2010,9177.2659,0.7888
2011,9215.5106,0.7921
2012,9255.3122,0.7955
2013,9203.5842,0.7911
2014,9189.8871,0.7899
2015,8931.1419,0.7677
2016,8855.5492,0.7612
2017,9035.234,0.7766
2018,8801.4726,0.7565
2019,8761.0404,0.7531
2020,8626.229,0.7415
