date,gve_sum,gve_ha
1980,82431.6252,0.3771
1981,81598.6699,0.3733
1982,80765.7146,0.3694
1983,79932.7593,0.3656
1984,79099.804,0.3618
1985,78266.8487,0.358
1986,78499.6362,0.3591
1987,78732.4237,0.3601
1988,78965.2111,0.3612
1989,79197.9986,0.3623
1990,79430.786,0.3633
1991,78606.0951,0.3596
1992,77781.4042,0.3558
1993,76956.7132,0.352
1994,76132.0223,0.3483
1995,75307.3314,0.3445
1996,74482.6404,0.3407
1997,71998.6179,0.3293
1998,71039.3198,0.325
1999,73705.7982,0.3372
2000,73657.4115,0.3369
2001,72991.9455,0.3339
2002,72131.959,0.33
2003,71500.2759,0.3271
2004,71273.1809,0.326
2005,72653.2881,0.3323
2006,72622.1817,0.3322
2007,70827.311,0.324
2008,72540.2939,0.3318
2009,70517.9102,0.3226
2010,71084.5131,0.3252
2011,70154.0237,0.3209
2012,69549.707,0.3181
2013,68775.2566,0.3146
2014,67948.6156,0.3108
2015,67666.7335,0.3095
2016,67774.319,0.31
2017,67665.1279,0.3095
2018,68284.7007,0.3124
2019,66967.8214,0.3063
2020,66233.8152,0.303
