date,gve_sum,gve_ha
1980,177721.4306,1.0444
1981,176370.4018,1.0365
1982,175019.3731,1.0285
1983,173668.3444,1.0206
1984,172317.3157,1.0127
1985,170966.2869,1.0047
1986,170359.8149,1.0012
1987,169753.3429,0.9976
1988,169146.8709,0.994
1989,168540.3988,0.9905
1990,167933.9268,0.9869
1991,165282.1296,0.9713
1992,162630.3325,0.9557
1993,159978.5353,0.9401
1994,157326.7382,0.9246
1995,154674.941,0.909
1996,152023.1439,0.8934
1997,146798.5559,0.8627
1998,147573.6141,0.8672
1999,152916.334,0.8986
2000,153282.5227,0.9008
2001,154404.5896,0.9074
2002,152876.7803,0.8984
2003,150187.9807,0.8826
2004,149719.791,0.8799
2005,153019.9078,0.8993
2006,154536.078,0.9082
2007,151261.7639,0.8889
2008,155554.5166,0.9142
2009,153183.3591,0.9002
2010,155118.8603,0.9116
2011,154181.1265,0.9061
2012,152853.9379,0.8983
2013,151466.151,0.8901
2014,149557.1961,0.8789
2015,149434.7634,0.8782
2016,148949.1502,0.8753
2017,148565.5546,0.8731
2018,148564.1224,0.8731
2019,146059.0957,0.8583
2020,145591.0111,0.8556
