date,gve_sum,gve_ha
1980,22531.4223,0.6421
1981,22381.4616,0.6378
1982,22231.5008,0.6335
1983,22081.54,0.6292
1984,21931.5792,0.625
1985,21781.6184,0.6207
1986,21831.7727,0.6221
1987,21881.9269,0.6236
1988,21932.0812,0.625
1989,21982.2354,0.6264
1990,22032.3897,0.6278
1991,21802.7435,0.6213
1992,21573.0973,0.6148
1993,21343.4511,0.6082
1994,21113.8049,0.6017
1995,20884.1587,0.5951
1996,20654.5125,0.5886
1997,20254.9665,0.5772
1998,20142.1292,0.574
1999,20645.3655,0.5883
2000,20154.9437,0.5743
2001,20712.6366,0.5902
2002,20654.7594,0.5886
2003,20439.6589,0.5825
2004,20198.3648,0.5756
2005,20436.7423,0.5824
2006,20397.0148,0.5812
2007,20417.0202,0.5818
2008,20751.525,0.5913
2009,20481.3794,0.5836
2010,20312.1343,0.5788
2011,20373.7004,0.5806
2012,20517.5942,0.5847
2013,20326.3243,0.5792
2014,20536.8577,0.5852
2015,19970.1308,0.5691
2016,19625.9328,0.5593
2017,19464.4778,0.5547
2018,19338.4359,0.5511
2019,19287.9847,0.5496
2020,19122.6051,0.5449
