date,gve_sum,gve_ha
1980,7472.7341,0.1245
1981,7414.7524,0.1235
1982,7356.7706,0.1226
1983,7298.7888,0.1216
1984,7240.807,0.1206
1985,7182.8252,0.1197
1986,7205.1427,0.12
1987,7227.4602,0.1204
1988,7249.7778,0.1208
1989,7272.0953,0.1212
1990,7294.4128,0.1215
1991,7213.9504,0.1202
1992,7133.488,0.1188
1993,7053.0256,0.1175
1994,6972.5633,0.1162
1995,6892.1009,0.1148
1996,6811.6385,0.1135
1997,6518.3225,0.1086
1998,6601.9007,0.11
1999,6751.5272,0.1125
2000,6582.0294,0.1097
2001,6552.2912,0.1092
2002,6511.2196,0.1085
2003,6524.7649,0.1087
2004,6450.0112,0.1075
2005,6473.5384,0.1078
2006,6518.7297,0.1086
2007,6461.8216,0.1077
2008,6523.8028,0.1087
2009,6356.6924,0.1059
2010,6340.8144,0.1056
2011,6206.7022,0.1034
2012,6251.3244,0.1041
2013,6176.8052,0.1029
2014,6010.4218,0.1001
2015,5989.1395,0.0998
2016,6131.996,0.1022
2017,6146.3047,0.1024
2018,6153.8581,0.1025
2019,6065.1065,0.101
2020,6018.8034,0.1003
