date,gve_sum,gve_ha
1980,4719.3744,1.0867
1981,4688.7517,1.0796
1982,4658.1289,1.0726
1983,4627.5062,1.0655
1984,4596.8834,1.0585
1985,4566.2606,1.0514
1986,4561.5171,1.0503
1987,4556.7735,1.0492
1988,4552.0299,1.0481
1989,4547.2863,1.047
1990,4542.5427,1.0459
1991,4550.8893,1.0479
1992,4559.2359,1.0498
1993,4567.5825,1.0517
1994,4575.9291,1.0536
1995,4584.2757,1.0556
1996,4592.6223,1.0575
1997,4558.4968,1.0496
1998,4445.4129,1.0236
1999,4473.4273,1.03
2000,4608.2824,1.0611
2001,4646.2394,1.0698
2002,4680.7697,1.0778
2003,4626.0826,1.0652
2004,4476.7784,1.0308
2005,4662.4612,1.0736
2006,4653.7477,1.0716
2007,4563.5531,1.0508
2008,4667.2322,1.0747
2009,4643.6931,1.0692
2010,4418.2271,1.0173
2011,4216.814,0.9709
2012,4664.0462,1.0739
2013,4635.716,1.0674
2014,4610.5867,1.0616
2015,4584.184,1.0555
2016,4469.5015,1.0291
2017,4451.4553,1.025
2018,4396.7808,1.0124
2019,4399.2399,1.0129
2020,4437.1461,1.0217
