date,gve_sum,gve_ha
1980,8475.9027,1.4138
1981,8400.0483,1.4012
1982,8324.1939,1.3885
1983,8248.3395,1.3759
1984,8172.4851,1.3632
1985,8096.6307,1.3506
1986,8079.7083,1.3477
1987,8062.7859,1.3449
1988,8045.8636,1.3421
1989,8028.9412,1.3393
1990,8012.0188,1.3365
1991,7870.4034,1.3128
1992,7728.7881,1.2892
1993,7587.1727,1.2656
1994,7445.5573,1.242
1995,7303.9419,1.2183
1996,7162.3266,1.1947
1997,7081.9865,1.1813
1998,7038.6451,1.1741
1999,7338.6051,1.2241
2000,7428.4424,1.2391
2001,7611.4051,1.2696
2002,7500.9357,1.2512
2003,7466.0355,1.2454
2004,7319.7797,1.221
2005,7522.0013,1.2547
2006,7411.4569,1.2363
2007,7246.1623,1.2087
2008,7476.0276,1.247
2009,7404.2565,1.2351
2010,7432.5807,1.2398
2011,7330.7165,1.2228
2012,7252.7201,1.2098
2013,7227.5763,1.2056
2014,7170.4547,1.1961
2015,7210.4182,1.2027
2016,7198.8583,1.2008
2017,7096.6654,1.1838
2018,7158.2848,1.194
2019,6997.6069,1.1672
2020,7000.0016,1.1676
