date,gve_sum,gve_ha
1980,287.0928,0.0307
1981,283.6066,0.0304
1982,280.1203,0.03
1983,276.6341,0.0296
1984,273.1479,0.0293
1985,269.6616,0.0289
1986,270.6416,0.029
1987,271.6216,0.0291
1988,272.6016,0.0292
1989,273.5816,0.0293
1990,274.5617,0.0294
1991,272.663,0.0292
1992,270.7643,0.029
1993,268.8656,0.0288
1994,266.9669,0.0286
1995,265.0682,0.0284
1996,263.1695,0.0282
1997,258.4579,0.0277
1998,256.2815,0.0274
1999,256.7536,0.0275
2000,259.2184,0.0278
2001,261.9502,0.0281
2002,261.454,0.028
2003,259.2342,0.0278
2004,255.4628,0.0274
2005,258.5694,0.0277
2006,258.7382,0.0277
2007,259.2224,0.0278
2008,263.1679,0.0282
2009,257.9904,0.0276
2010,259.558,0.0278
2011,256.5242,0.0275
2012,254.5541,0.0273
2013,253.4074,0.0271
2014,251.7619,0.027
2015,250.0269,0.0268
2016,250.0535,0.0268
2017,249.7869,0.0267
2018,249.4291,0.0267
2019,245.9913,0.0263
2020,244.2229,0.0262
