date,gve_sum,gve_ha
1980,112999.0561,0.597
1981,112182.7463,0.5927
1982,111366.4366,0.5883
1983,110550.1268,0.584
1984,109733.817,0.5797
1985,108917.5072,0.5754
1986,108676.9349,0.5741
1987,108436.3625,0.5729
1988,108195.7902,0.5716
1989,107955.2179,0.5703
1990,107714.6455,0.5691
1991,106870.4797,0.5646
1992,106026.3139,0.5601
1993,105182.1481,0.5557
1994,104337.9824,0.5512
1995,103493.8166,0.5468
1996,102649.6508,0.5423
1997,100997.4533,0.5336
1998,100557.9751,0.5312
1999,101898.5883,0.5383
2000,101389.4048,0.5356
2001,104363.379,0.5513
2002,103485.2521,0.5467
2003,102287.3001,0.5404
2004,102323.0543,0.5406
2005,103392.1646,0.5462
2006,102586.6261,0.542
2007,103951.1904,0.5492
2008,105010.2311,0.5548
2009,104076.1339,0.5498
2010,102888.732,0.5436
2011,102195.6935,0.5399
2012,104106.0842,0.55
2013,103765.5818,0.5482
2014,103873.6476,0.5488
2015,103759.0926,0.5482
2016,101779.7046,0.5377
2017,101173.8192,0.5345
2018,101442.3545,0.5359
2019,99641.7972,0.5264
2020,99131.5161,0.5237
