date,gve_sum,gve_ha
1980,13989.2592,0.3988
1981,13904.289,0.3964
1982,13819.3188,0.394
1983,13734.3487,0.3916
1984,13649.3785,0.3891
1985,13564.4083,0.3867
1986,13653.5433,0.3893
1987,13742.6783,0.3918
1988,13831.8133,0.3943
1989,13920.9484,0.3969
1990,14010.0834,0.3994
1991,14013.9966,0.3995
1992,14017.9099,0.3997
1993,14021.8231,0.3998
1994,14025.7364,0.3999
1995,14029.6496,0.4
1996,14033.5629,0.4001
1997,13669.1058,0.3897
1998,13881.8169,0.3958
1999,14231.6707,0.4057
2000,14373.2833,0.4098
2001,14147.5042,0.4034
2002,14058.6724,0.4008
2003,14271.2272,0.4069
2004,13835.7863,0.3945
2005,14153.3149,0.4035
2006,14464.4712,0.4124
2007,14184.5796,0.4044
2008,14618.2718,0.4168
2009,14786.9732,0.4216
2010,14825.8743,0.4227
2011,15009.5778,0.4279
2012,15117.4713,0.431
2013,14862.4217,0.4237
2014,14829.142,0.4228
2015,15006.5489,0.4278
2016,15108.3455,0.4307
2017,15138.7236,0.4316
2018,15282.7583,0.4357
2019,15303.666,0.4363
2020,15011.4131,0.428
