date,gve_sum,gve_ha
1980,10276.9875,0.4395
1981,10217.7275,0.437
1982,10158.4676,0.4344
1983,10099.2077,0.4319
1984,10039.9478,0.4294
1985,9980.6878,0.4268
1986,9923.7168,0.4244
1987,9866.7457,0.422
1988,9809.7747,0.4195
1989,9752.8036,0.4171
1990,9695.8326,0.4147
1991,9611.9504,0.4111
1992,9528.0682,0.4075
1993,9444.186,0.4039
1994,9360.3038,0.4003
1995,9276.4217,0.3967
1996,9192.5395,0.3931
1997,9097.7541,0.3891
1998,9064.5815,0.3877
1999,9540.5296,0.408
2000,9815.9912,0.4198
2001,10077.9355,0.431
2002,10078.6902,0.431
2003,10090.7786,0.4315
2004,9817.9832,0.4199
2005,10128.3976,0.4332
2006,10077.7783,0.431
2007,10236.3052,0.4378
2008,10532.4984,0.4504
2009,10283.1689,0.4398
2010,10005.421,0.4279
2011,10043.7278,0.4295
2012,10008.63,0.428
2013,9696.723,0.4147
2014,9687.1535,0.4143
2015,9579.8204,0.4097
2016,9490.4935,0.4059
2017,9513.3667,0.4068
2018,9420.3559,0.4029
2019,9320.2579,0.3986
2020,9114.3875,0.3898
