date,gve_sum,gve_ha
1980,68.7884,0.0155
1981,68.2494,0.0153
1982,67.7103,0.0152
1983,67.1713,0.0151
1984,66.6322,0.015
1985,66.0932,0.0149
1986,66.3925,0.0149
1987,66.6918,0.015
1988,66.991,0.0151
1989,67.2903,0.0151
1990,67.5896,0.0152
1991,66.7302,0.015
1992,65.8708,0.0148
1993,65.0114,0.0146
1994,64.152,0.0144
1995,63.2925,0.0142
1996,62.4331,0.014
1997,61.9128,0.0139
1998,62.0462,0.0139
1999,63.6445,0.0143
2000,63.0097,0.0142
2001,63.4644,0.0143
2002,63.1873,0.0142
2003,62.3143,0.014
2004,61.6389,0.0139
2005,62.6781,0.0141
2006,62.9365,0.0141
2007,62.7845,0.0141
2008,63.5992,0.0143
2009,61.907,0.0139
2010,62.4096,0.014
2011,61.9524,0.0139
2012,61.572,0.0138
2013,60.9076,0.0137
2014,59.3538,0.0133
2015,58.3898,0.0131
2016,57.6918,0.013
2017,58.0268,0.013
2018,57.7404,0.013
2019,57.0864,0.0128
2020,56.7179,0.0128
