date,gve_sum,gve_ha
1980,91165.0347,0.3779
1981,90203.3358,0.3739
1982,89241.637,0.3699
1983,88279.9381,0.3659
1984,87318.2392,0.3619
1985,86356.5403,0.358
1986,86480.2481,0.3585
1987,86603.9558,0.359
1988,86727.6636,0.3595
1989,86851.3714,0.36
1990,86975.0791,0.3605
1991,86007.268,0.3565
1992,85039.4569,0.3525
1993,84071.6457,0.3485
1994,83103.8346,0.3445
1995,82136.0235,0.3405
1996,81168.2124,0.3364
1997,78414.9727,0.325
1998,77338.161,0.3206
1999,79937.3938,0.3313
2000,79823.3135,0.3309
2001,79122.207,0.328
2002,78191.6469,0.3241
2003,77500.6854,0.3212
2004,77100.8642,0.3196
2005,78623.8822,0.3259
2006,78474.8723,0.3253
2007,76667.0168,0.3178
2008,78685.2924,0.3262
2009,76696.5509,0.3179
2010,77311.0515,0.3205
2011,76398.7326,0.3167
2012,75722.9664,0.3139
2013,74990.3736,0.3108
2014,74074.3683,0.307
2015,73760.3559,0.3057
2016,73928.551,0.3064
2017,73794.8359,0.3059
2018,74352.9739,0.3082
2019,73142.7899,0.3032
2020,72377.0659,0.3
