date,gve_sum,gve_ha
1980,11365.258,0.3997
1981,11381.6182,0.4003
1982,11397.9783,0.4009
1983,11414.3384,0.4015
1984,11430.6985,0.4021
1985,11447.0587,0.4026
1986,11510.0126,0.4048
1987,11572.9665,0.4071
1988,11635.9204,0.4093
1989,11698.8743,0.4115
1990,11761.8283,0.4137
1991,11601.6835,0.4081
1992,11441.5388,0.4024
1993,11281.3941,0.3968
1994,11121.2494,0.3912
1995,10961.1047,0.3855
1996,10800.96,0.3799
1997,10263.0695,0.361
1998,10241.4897,0.3602
1999,10514.7498,0.3698
2000,10473.7522,0.3684
2001,10621.4251,0.3736
2002,10514.0987,0.3698
2003,10297.2878,0.3622
2004,10163.594,0.3575
2005,10299.9382,0.3623
2006,10213.7513,0.3592
2007,10298.2854,0.3622
2008,10168.5581,0.3577
2009,9904.1415,0.3484
2010,9887.5535,0.3478
2011,9634.8365,0.3389
2012,9765.773,0.3435
2013,9780.2834,0.344
2014,9709.7178,0.3415
2015,9690.0407,0.3408
2016,9673.4764,0.3402
2017,9736.7211,0.3425
2018,9750.7217,0.343
2019,9750.3594,0.3429
2020,9771.9292,0.3437
