date,gve_sum,gve_ha
1980,8922.809,0.1153
1981,8827.0069,0.114
1982,8731.2048,0.1128
1983,8635.4027,0.1115
1984,8539.6006,0.1103
1985,8443.7985,0.1091
1986,8655.7181,0.1118
1987,8867.6377,0.1145
1988,9079.5574,0.1173
1989,9291.477,0.12
1990,9503.3966,0.1228
1991,9445.9861,0.122
1992,9388.5756,0.1213
1993,9331.1651,0.1205
1994,9273.7547,0.1198
1995,9216.3442,0.1191
1996,9158.9337,0.1183
1997,9067.2998,0.1171
1998,8996.7415,0.1162
1999,8956.1991,0.1157
2000,8862.3739,0.1145
2001,8904.3728,0.115
2002,8884.4367,0.1148
2003,8855.2806,0.1144
2004,8489.9017,0.1097
2005,8551.4871,0.1105
2006,8607.7872,0.1112
2007,8589.2855,0.111
2008,8726.2481,0.1127
2009,8703.0138,0.1124
2010,8578.5409,0.1108
2011,8497.6671,0.1098
2012,8440.7278,0.109
2013,8331.5823,0.1076
2014,8139.0225,0.1051
2015,7986.5077,0.1032
2016,8064.259,0.1042
2017,8094.3939,0.1046
2018,8026.4036,0.1037
2019,7797.4656,0.1007
2020,7648.4767,0.0988
