date,delta_2h,delta_18o
2010-07-05,-65.4,-9.25
2010-07-19,-64.4,-9.04
2010-08-14,-61.1,-8.83
2010-08-30,-63.1,-8.98
2010-09-12,-64.9,-9.22
2010-09-29,-65.4,-9.29
2010-10-14,-65.6,-9.39
2010-10-28,-74.2,-10.5
2010-11-13,-68.1,-9.74
2010-11-30,-63.6,-7.61
2010-12-11,-73.4,-10.5
2010-12-28,-71.1,-10.21
2011-01-07,-81.4,-11.59
2011-01-26,-69.1,-9.84
2011-02-12,-68.2,-9.86
2011-02-28,-71.1,-10.29
2011-03-16,-68.5,-9.88
2011-03-26,-67.6,-9.6
2011-04-18,-66.6,-9.52
2011-04-28,-65.9,-9.38
2011-05-14,-59.1,-8.69
2011-05-27,-64.7,-9.22
2011-06-18,-46.2,-7.0
2011-06-29,-64.1,-9.23
2011-07-08,-50.3,-7.8
2011-07-28,-66.3,-9.51
2011-08-08,-57.5,-8.2
2011-08-24,-64.3,-9.17
2011-09-10,-63.2,-9.13
2011-09-29,-64.9,-9.4
2011-10-18,-63.9,-8.96
2011-10-26,-66.5,-9.56
2011-11-16,-65.9,-9.38
2011-11-28,-64.5,-9.15
2011-12-15,-65.4,-9.58
2011-12-29,-66.6,-9.66
2012-01-12,-67.9,-9.68
2012-01-26,-68.5,-9.88
2012-02-29,-64.1,-9.11
2012-03-06,-68.2,-9.62
2012-03-29,-67.4,-9.66
2012-04-20,-74.8,-10.57
2012-04-28,-68.2,-9.69
2012-05-10,-66.1,-9.41
2012-05-31,-60.0,-8.48
2012-06-14,-66.2,-9.56
2012-06-28,-64.3,-9.34
2012-07-12,-64.7,-9.41
2012-07-26,-65.2,-9.38
2012-08-17,-61.9,-8.99
2012-08-31,-59.8,-8.68
2012-09-14,-62.7,-9.17
2012-09-30,-61.0,-8.91
2012-10-12,-62.5,-9.05
2012-10-26,-65.1,-9.34
2012-11-19,-65.8,-9.44
2012-11-29,-85.0,-11.81
2012-12-16,-79.9,-11.44
2012-12-27,-70.7,-10.07
2013-01-12,-70.7,-10.19
2013-01-29,-71.7,-10.28
2013-02-10,-69.9,-10.12
2013-02-27,-69.3,-10.02
