date,delta_2h,delta_18o
2010-07-02,-70.6,-10.09
2010-07-16,-70.4,-10.06
2010-07-30,-69.7,-9.94
2010-08-13,-69.4,-9.89
2010-08-27,-65.8,-9.44
2010-09-10,-70.2,-10.03
2010-09-24,-70.2,-10.06
2010-10-08,-70.4,-10.11
2010-10-22,-70.2,-10.02
2010-11-05,-70.5,-10.12
2010-11-18,-71.3,-10.12
2010-12-03,-70.9,-10.08
2010-12-17,-72.4,-10.3
2010-12-31,-72.2,-10.28
2011-01-14,-73.2,-10.42
2011-01-28,-71.4,-10.18
2011-02-11,-71.0,-10.17
2011-02-25,-71.3,-10.18
2011-03-11,-71.2,-10.17
2011-03-25,-71.3,-10.18
2011-04-08,-71.1,-10.17
2011-04-22,-70.8,-10.15
2011-05-06,-70.8,-10.07
2011-05-20,-70.2,-9.95
2011-06-03,-69.9,-9.99
2011-06-17,-70.2,-10.0
2011-07-01,-69.5,-9.83
2011-07-15,-69.4,-9.87
2011-07-30,-69.3,-9.9
2011-08-12,-70.2,-9.99
2011-08-26,-65.2,-9.47
2011-09-09,-70.3,-10.15
2011-09-23,-70.1,-10.1
2011-10-07,-64.4,-9.48
2011-10-21,-70.7,-10.12
2011-11-04,-71.0,-10.23
2011-11-18,-70.7,-10.22
2011-12-02,-70.7,-10.19
2011-12-16,-77.5,-10.97
2011-12-30,-73.2,-10.49
2012-01-13,-70.7,-10.18
2012-01-27,-70.9,-10.13
2012-02-10,-70.9,-10.15
2012-02-24,-72.9,-10.37
2012-03-09,-71.0,-10.07
2012-03-23,-71.6,-10.17
2012-04-06,-70.9,-10.13
2012-04-20,-74.3,-10.62
2012-05-04,-70.6,-10.13
2012-05-18,-70.5,-10.03
2012-06-01,-71.2,-10.06
2012-06-15,-71.1,-10.06
2012-06-29,-71.0,-10.05
2012-07-13,-70.6,-10.0
2012-07-27,-69.2,-9.83
2012-08-10,-70.1,-10.0
2012-08-24,-61.8,-9.1
2012-09-07,-69.8,-9.99
2012-09-21,-69.9,-9.9
2012-10-05,-69.5,-10.02
2012-10-19,-69.8,-10.05
2012-11-02,-69.7,-10.18
2012-11-16,-70.2,-10.18
2012-11-30,-70.9,-10.2
2012-12-14,-70.4,-10.21
2012-12-28,-72.6,-10.49
2013-03-01,-71.5,-10.26
2013-03-15,-72.1,-10.32
2013-03-29,-79.2,-11.24
2013-04-12,-79.1,-11.15
2013-04-26,-73.3,-10.5
2013-05-10,-82.6,-11.43
2013-05-24,-72.1,-10.31
2013-06-07,-73.3,-10.46
2013-06-21,-72.1,-10.37
2013-07-05,-72.1,-10.34
2013-07-19,-71.4,-10.19
2013-08-02,-72.1,-10.33
2013-08-16,-71.6,-10.25
2013-08-30,-71.1,-10.14
2013-09-13,-70.9,-10.15
2013-09-27,-71.3,-10.22
2013-10-11,-72.6,-10.33
2013-10-25,-72.2,-10.29
2014-09-12,-74.3,-10.7
2014-09-26,-78.8,-10.81
2014-10-10,-78.7,-10.82
2014-10-24,-79.3,-10.87
2014-11-07,-81.5,-11.11
2014-11-21,-75.9,-10.92
2014-12-05,-75.0,-10.8
2014-12-19,-75.2,-10.8
2015-01-02,-74.8,-10.73
2015-01-16,-75.2,-10.83
2015-01-30,-80.0,-11.42
2015-02-13,-75.1,-10.77
2015-02-27,-84.9,-11.9
2015-03-13,-76.3,-10.93
2015-03-30,-86.9,-12.08
2015-04-10,-76.2,-10.88
2015-04-24,-75.5,-10.8
2015-05-08,-78.0,-11.09
2015-05-22,-76.5,-10.93
2015-06-05,-75.6,-10.74
2015-06-19,-72.3,-10.28
2015-07-03,-74.8,-10.61
2015-07-17,-68.3,-9.69
2015-07-31,-73.6,-10.45
2015-08-14,-71.3,-10.17
2015-08-28,-73.2,-10.37
2015-09-11,-73.2,-10.35
2015-09-25,-73.4,-10.39
2015-10-09,-73.6,-10.41
2015-10-23,-74.0,-10.45
2015-11-06,-73.8,-10.39
2015-11-20,-76.0,-10.64
2015-12-04,-74.1,-10.39
2015-12-18,-74.1,-10.46
2016-01-01,-72.1,-10.22
2016-01-15,-75.9,-10.66
2016-01-29,-75.3,-10.59
2016-02-12,-76.3,-10.7
2016-02-26,-77.1,-10.79
2016-03-11,-76.9,-10.76
2016-03-25,-76.2,-10.58
2016-04-08,-74.6,-10.49
2016-04-22,-73.9,-10.38
2016-05-06,-76.2,-10.7
2016-05-20,-76.9,-10.82
2016-06-03,-77.5,-10.83
2016-06-17,-75.9,-10.65
2016-07-01,-75.4,-10.6
2016-07-15,-74.2,-10.4
2016-07-29,-75.8,-10.67
2016-08-12,-75.4,-10.61
2016-08-26,-75.1,-10.56
2016-09-09,-74.8,-10.53
2016-09-23,-74.7,-10.49
2016-10-07,-74.2,-10.43
2016-10-21,-74.3,-10.5
2016-11-04,-74.2,-10.51
2016-11-18,-74.7,-10.58
2016-12-02,-74.9,-10.59
2016-12-16,-74.7,-10.54
2016-12-30,-74.5,-10.48
2017-01-13,-74.8,-10.59
2017-01-27,-74.1,-10.42
2017-02-10,-74.8,-10.61
2017-02-24,-74.5,-10.52
2017-03-10,-74.0,-10.49
2017-03-24,-74.2,-10.51
2017-04-07,-74.1,-10.47
2017-04-21,-74.1,-10.48
2017-05-05,-74.6,-10.48
2017-05-19,-74.7,-10.37
2017-06-02,-66.7,-9.51
2017-06-16,-73.7,-10.31
2017-06-30,-73.3,-10.28
2017-07-14,-73.3,-10.33
2017-07-28,-72.3,-10.24
2017-08-11,-72.4,-10.25
2017-08-25,-72.4,-10.24
2017-09-08,-72.7,-10.22
2017-09-22,-73.2,-10.36
2017-10-06,-68.8,-9.75
2017-10-20,-72.7,-10.3
2017-11-03,-84.1,-11.73
2017-11-17,-72.7,-10.25
2017-12-01,-74.0,-10.44
2017-12-15,-73.4,-10.33
2017-12-29,-80.2,-11.25
2018-01-12,-74.8,-10.53
2018-01-26,-74.8,-10.54
2018-02-09,-74.4,-10.51
2018-02-23,-74.3,-10.41
2018-03-09,-75.2,-10.49
2018-03-23,-75.3,-10.54
2018-04-06,-74.6,-10.5
2018-04-20,-74.4,-10.46
2018-05-04,-73.9,-10.44
2018-05-18,-73.5,-10.41
2018-05-18,-73.5,-10.41
2018-06-01,-73.3,-10.4
2018-06-01,-73.3,-10.4
2018-06-15,-73.3,-10.4
2018-06-15,-73.3,-10.4
2018-06-29,-73.7,-10.43
2018-06-29,-73.7,-10.43
2018-07-13,-72.8,-10.32
2018-07-13,-72.8,-10.32
2018-07-27,-73.2,-10.35
2018-07-27,-73.2,-10.35
2018-08-10,-72.4,-10.23
2018-08-10,-72.4,-10.23
2018-08-24,-71.5,-10.14
2018-08-24,-71.5,-10.14
2018-09-07,-72.9,-10.32
2018-09-07,-72.9,-10.32
2018-09-21,-71.9,-10.19
2018-09-21,-71.9,-10.19
2018-10-05,-72.5,-10.24
2018-10-05,-72.5,-10.24
2018-10-19,-72.9,-10.29
2018-10-19,-72.9,-10.29
2018-11-02,-74.8,-10.54
2018-11-02,-74.8,-10.54
2018-11-16,-73.4,-10.35
2018-11-16,-73.4,-10.35
2018-11-30,-74.3,-10.47
2018-11-30,-74.3,-10.47
2018-12-14,-72.9,-10.28
2018-12-14,-72.9,-10.28
2018-12-28,-72.8,-10.3
2018-12-28,-72.8,-10.3
2019-01-11,-73.4,-10.35
2019-01-25,-73.2,-10.3
2019-02-08,-75.2,-10.58
2019-02-22,-73.8,-10.43
2019-03-08,-69.7,-9.96
2019-03-22,-73.2,-10.34
2019-04-05,-77.8,-10.88
2019-04-19,-72.2,-10.17
2019-05-03,-72.7,-10.17
2019-05-17,-77.4,-10.77
2019-05-31,-73.5,-10.33
2019-06-14,-72.7,-10.2
2019-06-28,-72.6,-10.23
2019-07-12,-72.8,-10.2
2019-07-26,-71.8,-10.07
2019-08-09,-72.1,-10.15
2019-08-23,-71.3,-10.07
2019-09-06,-71.9,-10.14
2019-09-20,-72.3,-10.18
2019-10-04,-68.1,-9.64
2019-10-18,-70.5,-9.99
2019-11-01,-69.9,-9.89
2019-11-15,-75.5,-10.65
2019-11-29,-74.6,-10.46
2019-12-13,-71.1,-10.09
2019-12-28,-77.5,-10.95
2020-01-10,-72.1,-10.21
2020-01-24,-72.4,-10.25
2020-02-07,-69.9,-9.99
2020-02-21,-70.9,-10.08
2020-03-06,-72.0,-10.2
2020-03-20,-71.9,-10.19
2020-04-03,-71.8,-10.16
2020-04-17,-71.9,-10.17
2020-05-01,-72.9,-10.27
2020-05-15,-68.6,-9.85
2020-05-29,-72.0,-10.23
2020-06-12,-71.7,-10.2
2020-06-26,-71.9,-10.23
2020-07-10,-71.9,-10.18
2020-07-24,-70.6,-10.0
2020-08-07,-71.7,-10.16
2020-08-21,-70.6,-9.99
2020-09-04,-71.6,-10.18
2020-09-18,-71.9,-10.16
2020-10-02,-71.4,-10.14
2020-10-16,-72.5,-10.27
2020-10-30,-70.9,-10.09
2020-11-13,-72.2,-10.21
2020-11-27,-71.6,-10.15
2020-12-11,-72.1,-10.2
2020-12-25,-71.9,-10.2
2021-01-08,-71.8,-10.19
2021-01-22,-74.9,-10.54
2021-02-05,-71.6,-10.2
2021-02-19,-71.9,-10.22
2021-03-05,-71.5,-10.18
2021-03-19,-72.2,-10.24
2021-04-02,-71.8,-10.21
2021-04-16,-71.9,-10.23
2021-04-30,-71.8,-10.23
2021-05-14,-72.6,-10.3
2021-05-28,-71.7,-10.22
2021-06-11,-71.7,-10.2
2021-07-23,-70.5,-10.14
2021-08-06,-68.2,-9.71
2021-08-20,-69.5,-9.95
2021-09-03,-71.8,-10.19
2021-09-17,-71.4,-10.14
2021-10-01,-71.6,-10.17
2021-10-15,-71.4,-10.14
2021-10-29,-71.8,-10.19
2021-11-12,-71.9,-10.2
2021-11-26,-72.3,-10.25
2021-12-10,-73.5,-10.42
2021-12-24,-73.6,-10.43
2022-01-07,-72.2,-10.25
2022-01-21,-71.7,-10.17
2022-02-04,-71.9,-10.22
2022-02-13,-71.8,-10.23
2022-03-04,-71.7,-10.18
2022-03-18,-71.7,-10.17
2022-04-01,-74.4,-10.66
2022-04-15,-72.1,-10.24
2022-04-29,-72.4,-10.29
2022-05-13,-72.0,-10.22
2022-05-27,-71.8,-10.25
2022-06-10,-70.7,-10.13
2022-06-24,-65.4,-9.56
2022-07-08,-71.3,-10.17
2022-07-22,-55.6,-8.24
2022-08-05,-71.7,-10.24
2022-08-19,-66.1,-9.62
2022-09-02,-70.3,-10.02
2022-09-16,-67.7,-9.75
2022-09-30,-69.3,-9.91
2022-10-14,-70.7,-10.09
2022-10-28,-70.9,-10.14
2022-11-11,-71.0,-10.14
2022-11-25,-70.7,-10.09
2022-12-09,-72.2,-10.27
2022-12-23,-68.2,-9.78
2023-01-06,-70.2,-10.05
2023-01-20,-70.6,-10.08
2023-02-03,-70.8,-10.13
2023-02-17,-71.6,-10.22
2023-03-03,-64.4,-9.24
2023-03-17,-70.2,-10.06
2023-03-31,-70.0,-10.01
2023-04-14,-69.0,-9.9
2023-04-28,-70.0,-10.02
2023-05-12,-69.8,-9.99
2023-05-26,-70.6,-10.09
2023-06-09,-71.1,-10.12
2023-06-23,-70.0,-9.97
2023-07-07,-71.1,-10.11
