date,delta_2h,delta_18o
2010-11-02,-82.9,-11.85
2010-11-15,-81.7,-11.59
2010-11-29,-79.9,-11.33
2010-12-13,-82.9,-11.68
2010-12-27,-84.1,-11.85
2011-01-10,-90.2,-12.66
2011-01-24,-83.1,-11.7
2011-02-07,-82.4,-11.61
2011-02-21,-85.5,-12.03
2011-03-07,-85.8,-12.01
2011-03-21,-87.1,-12.03
2011-04-04,-88.8,-12.47
2011-04-18,-84.3,-11.86
2011-05-02,-85.3,-12.09
2011-05-16,-82.8,-11.76
2011-05-30,-80.6,-11.5
2011-06-14,-80.2,-11.5
2011-06-27,-77.2,-10.96
2011-07-11,-68.5,-9.97
2011-07-25,-74.8,-10.7
2011-08-08,-69.6,-10.18
2011-08-22,-73.0,-10.57
2011-09-05,-67.9,-10.03
2011-09-19,-63.0,-9.24
2011-10-03,-72.4,-10.47
2011-10-17,-71.9,-10.48
2011-10-31,-72.8,-10.5
2011-11-14,-73.6,-10.5
2011-11-28,-74.1,-10.69
2011-12-12,-71.3,-10.27
2011-12-27,-73.8,-10.65
2012-01-09,-74.0,-10.61
2012-01-23,-75.6,-10.69
2012-03-05,-80.5,-11.41
2012-03-19,-79.8,-11.43
2012-04-02,-79.5,-11.47
2012-04-16,-82.8,-11.78
2012-04-30,-83.5,-11.89
2012-05-14,-80.6,-11.43
2012-05-29,-80.2,-11.69
2012-06-11,-74.5,-10.75
2012-06-25,-75.3,-10.91
2012-07-09,-65.3,-9.58
2012-07-23,-70.7,-10.2
2012-08-06,-68.6,-9.97
2012-08-20,-70.5,-10.25
2012-09-03,-67.8,-9.95
2012-09-17,-68.0,-9.97
2012-10-01,-65.8,-9.68
2012-10-15,-76.5,-10.98
2012-10-29,-75.5,-10.83
2012-11-12,-75.7,-10.97
2012-11-26,-72.0,-10.45
2012-12-17,-81.4,-11.74
2013-09-02,-77.6,-11.19
2013-09-16,-76.6,-11.09
2013-09-20,-72.5,-10.49
2013-10-14,-75.8,-10.92
2013-10-28,-76.9,-11.04
2013-11-11,-80.9,-11.51
2013-11-25,-79.9,-11.37
2013-12-09,-79.0,-11.23
2013-12-23,-79.7,-11.37
2014-01-06,-83.7,-11.86
2014-01-18,-83.4,-11.77
2014-01-31,-82.0,-11.66
2014-02-14,-85.5,-11.98
2014-02-28,-84.2,-11.87
2014-03-28,-88.8,-12.49
2014-04-12,-87.7,-12.44
2014-04-25,-87.1,-12.36
2014-05-18,-86.3,-12.15
2014-05-30,-80.9,-11.56
2014-06-13,-83.6,-11.9
2014-06-27,-82.2,-11.78
2014-07-12,-80.6,-11.57
2014-07-26,-80.1,-11.5
2014-08-08,-75.6,-10.93
2014-08-24,-71.3,-10.42
2014-09-07,-73.0,-10.65
2014-09-27,-73.6,-10.66
2014-10-18,-73.0,-10.62
2014-10-31,-72.8,-10.61
2014-11-15,-75.3,-10.97
2014-11-30,-76.5,-11.05
2014-12-13,-75.9,-10.9
2015-01-02,-78.7,-11.28
2015-01-19,-79.9,-11.47
2015-01-31,-79.6,-11.35
2015-02-15,-79.1,-11.33
2015-03-06,-81.0,-11.49
2015-03-13,-81.6,-11.56
2015-03-27,-83.8,-11.88
2015-04-10,-84.3,-11.85
2015-04-24,-82.9,-11.77
2015-05-08,-86.3,-12.07
2015-05-23,-82.4,-11.66
2015-06-05,-83.5,-11.78
2015-06-19,-73.9,-10.48
2015-07-03,-80.6,-11.34
2015-07-17,-79.0,-11.14
2015-08-01,-72.2,-10.33
2015-08-14,-75.6,-10.78
2015-08-28,-74.4,-10.65
2015-09-11,-75.2,-10.76
2015-09-26,-71.8,-10.3
2015-10-10,-74.3,-10.63
2015-10-23,-74.9,-10.71
2015-11-07,-75.9,-10.8
2015-11-21,-79.8,-11.09
2015-12-04,-78.1,-11.06
2015-12-18,-79.1,-11.25
2016-01-01,-76.7,-10.91
2016-01-15,-78.0,-11.02
2016-01-29,-80.7,-11.46
2016-02-12,-80.4,-11.32
2016-02-26,-82.0,-11.49
2016-03-11,-82.5,-11.51
2016-03-25,-84.1,-11.64
2016-04-08,-84.4,-11.83
2016-04-22,-85.5,-11.94
2016-05-07,-83.6,-11.76
2016-05-20,-84.2,-11.82
2016-06-04,-87.1,-11.96
2016-06-17,-85.5,-11.9
2016-07-01,-84.7,-11.88
2016-07-15,-80.6,-11.33
