date,delta_2h,delta_18o
2010-07-07,-69.6,-9.77
2010-07-21,-68.3,-9.57
2010-08-07,-70.5,-9.88
2010-08-21,-70.4,-9.89
2010-09-11,-70.0,-9.81
2010-09-25,-73.2,-10.29
2010-10-09,-70.1,-9.91
2010-10-23,-68.9,-9.8
2010-11-06,-70.5,-9.98
2010-11-20,-71.7,-10.15
2010-12-04,-71.8,-10.13
2010-12-18,-73.2,-10.31
2011-01-01,-74.0,-10.45
2011-01-15,-74.5,-10.55
2011-01-29,-72.4,-10.25
2011-02-12,-71.9,-10.19
2011-02-26,-74.0,-10.43
2011-03-12,-72.1,-10.25
2011-03-26,-72.7,-10.2
2011-04-09,-72.2,-10.11
2011-04-23,-70.9,-9.86
2011-05-07,-70.6,-9.95
2011-05-21,-69.2,-9.68
2011-06-04,-68.6,-9.65
2011-06-18,-63.5,-9.07
2011-07-02,-67.6,-9.67
2011-07-16,-68.0,-9.69
2011-07-30,-70.0,-9.85
2011-08-13,-69.6,-9.84
2011-08-27,-55.2,-8.24
2011-09-10,-68.8,-9.75
2011-09-24,-68.4,-9.72
2011-10-08,-65.8,-9.54
2011-10-22,-69.6,-9.86
2011-11-05,-69.5,-9.89
2011-11-19,-69.4,-9.76
2011-12-03,-70.4,-9.9
2011-12-17,-70.1,-9.87
2011-12-31,-70.2,-9.94
2012-01-14,-69.7,-9.84
2012-01-28,-71.5,-10.06
2012-02-11,-70.8,-9.92
2012-02-25,-73.2,-10.26
2012-03-10,-70.7,-9.9
2012-03-24,-71.0,-9.98
2012-04-07,-67.9,-9.68
2012-04-21,-70.6,-10.02
2012-05-05,-69.0,-9.85
2012-05-19,-68.9,-9.86
2012-06-16,-68.5,-9.83
2012-06-30,-68.5,-9.78
2012-07-14,-64.2,-9.15
2012-07-28,-68.4,-9.55
2012-08-11,-67.4,-9.47
2012-08-25,-55.5,-8.04
2012-09-08,-66.9,-9.57
2012-09-22,-55.2,-8.12
2012-10-06,-65.9,-9.47
2012-10-20,-65.8,-9.48
2012-11-03,-65.5,-9.58
2012-11-17,-66.8,-9.63
2012-12-01,-70.3,-10.09
2012-12-15,-90.8,-12.51
2013-03-23,-71.7,-10.19
2013-04-06,-72.4,-10.35
2013-04-20,-82.4,-11.56
2013-05-04,-71.5,-10.18
2013-05-18,-71.5,-10.24
2013-06-01,-80.1,-11.45
2013-06-15,-72.7,-10.38
2013-06-29,-71.0,-10.08
2013-07-13,-70.6,-10.04
2013-07-27,-68.8,-9.83
2013-08-24,-73.4,-10.56
2014-01-11,-74.4,-10.56
2014-01-25,-75.7,-10.69
2014-02-08,-79.4,-11.13
2014-02-22,-77.1,-10.85
2014-03-08,-75.2,-10.61
2014-03-22,-73.3,-10.32
2014-04-05,-73.4,-10.36
2014-04-19,-70.7,-10.03
2014-05-03,-82.8,-11.56
2014-05-17,-76.7,-10.83
2014-05-31,-72.8,-10.28
2014-06-14,-69.6,-9.84
2014-07-05,-72.1,-10.28
2014-07-19,-73.5,-10.47
2014-08-02,-74.8,-10.59
2014-08-16,-71.0,-10.13
2014-08-30,-71.0,-10.15
2014-09-13,-72.3,-10.25
2014-09-27,-70.5,-10.13
2014-10-11,-71.9,-10.22
2014-10-25,-70.6,-10.05
2014-11-08,-77.2,-10.95
2014-11-22,-74.7,-10.62
2015-05-30,-74.7,-10.4
2015-06-13,-74.2,-10.35
2015-06-27,-74.3,-10.34
2015-07-11,-73.1,-10.17
2015-07-25,-70.0,-9.67
2015-08-08,-73.4,-10.21
2015-08-22,-70.6,-9.87
2015-09-05,-72.1,-9.98
2015-09-19,-72.4,-10.07
2015-10-03,-72.7,-10.06
2015-10-17,-73.6,-10.15
2015-10-31,-75.4,-10.46
2015-11-14,-73.4,-10.23
2015-11-28,-74.9,-10.41
2015-12-12,-73.5,-10.17
2015-12-26,-73.0,-10.14
2018-06-09,-70.6,-9.88
2018-06-23,-71.6,-9.99
2018-07-07,-69.8,-9.79
2018-07-22,-71.0,-9.96
2018-08-04,-70.2,-9.79
2018-08-18,-65.1,-8.96
2018-09-01,-69.4,-9.83
2018-09-16,-69.3,-9.68
2018-09-29,-70.2,-9.76
2018-10-13,-70.9,-9.88
2018-10-28,-92.4,-12.57
2018-11-10,-72.9,-10.11
2018-11-26,-72.7,-10.07
2018-12-09,-63.0,-9.02
2018-12-22,-72.8,-10.2
